A: 	ik noemen deze kaneelstaaf 
A: 	omdat die links hebben die een kaneelstaaf uit uit hoofd komen 
A: 	en boven het kaneelstaaf hebben je een soort van zo'n Batmanlogo schijnlich 
B: 	wachten even we hebben er volgens mij hebben we ze allemaal hebben behalve één 
A: 	en met dan 
A: 	ja 
B: 	zijn het die ik noemen noemen ik die toeter 
A: 	en 
B: 	zullen dat kunnen 
A: 	weten ik veel 
B: 	hebben die zo'n plat schijf voor zich 
A: 	ja rechts 
B: 	ja 
A: 	ja 
B: 	en ja ja ja 
B: 	L 
A: 	ah nou rechts naast zich dan 
B: 	ja rechts naast zich hebben die die plat schijf 
A: 	oké 
A: 	negen 
B: 	L negen 
A: 	yes 
A: 	staan helemaal op de onderste rij 
B: 	nee 
A: 	halverwege van links naar rechts 
B: 	nee 
A: 	of van van het midden naar links 
B: 	bij mij kunnen er nog iets onder 
A: 	oké 
B: 	zijn niet dezelfde plek 
B: 	dit zijn die laat die we net hebben dus die toeter noemen ik hem en met die met dat schotel voor dat Batman teken 
A: 	ja ja ja 
A: 	welk zijn die 
B: 	M 
A: 	M van Mieke 
B: 	Merel ja 
A: 	ja Mieke weten ik veel M zeven 
B: 	en hij staan iets link van het midden en dan bovenin en er kunnen eigenlijk niks veel boven 
A: 	nee denken het niet dan die van die die die van mij staan net iets boven Pinokkio links in het midden 
B: 	ja en dan zullen er nog iets boven kunnen 
A: 	twee bijna 
B: 	twee oké nee nee nee dan kunnen het niet 
A: 	Batmanlogo kaneelstokjeten helikopterplatform aan de zijkant 
B: 	ja 
B: 	C en bij jou 
A: 	vijftien 
B: 	C vijftien 
A: 	ongeveer in het midden qua van links naar rechts 
B: 	min 
A: 	en dan ja 
B: 	de helft naar onder 
A: 	nee naar boven toe 
A: 	één drie naar boven 
B: 	naar boven ? boven de helft 
A: 	ja 
B: 	nee nee nee dan zijn het niet hetzelfde 
A: 	oké 
B: 	oké dit zijn de toeter de Batmantoeter met het schotel aan de voorkant 
B: 	of aan de rechterkant 
A: 	oké 
B: 	O 
A: 	O één 
B: 	en hij staan links 
B: 	in het midden een klein stap naar beneden en dan zullen er als je goed past nog één naast kunnen 
A: 	zelfde plek 
A: 	die ik kaneelstaaf noemen bij mijn logo Erboven die 
B: 	ja 
B: 	A 
A: 	A drie 
B: 	A drie 
A: 	yes 
B: 	zijn dat ? jij 
A: 	midden 
A: 	qua hoogte 
A: 	en in het midden tussen links en midden 
B: 	ja 
B: 	staan een beetje ook alleen ja een beetje alleen 
A: 	ja 
A: 	als je die twee link onderin hebben staan die net schuin links boven de rechter 
B: 	ja 
B: 	zelfde 
B: 	de de toeter de Batman Batmanlogo 
A: 	ja 
B: 	P 
A: 	P dertien 
B: 	en die staan net iets schuin boven de die we net hebben hebben 
A: 	midden helemaal links 
A: 	dus middel hoogte helemaal links 
B: 	nee niet middel hoogte 
B: 	nee schuin schuin nee dus niet dezelfde plek 
A: 	dus niet op de middel hoogte 
B: 	nee nee nee dat zijn dat zijn bij mij iets ander ja 
A: 	oké 
