B: 	ik vinden dit een beetje op twee tafelpoot lijken 
A: 	ja dan weten ik het denken ik wel 
B: 	en daarbovenop liggen een soort omgekeeren piramide zonder top 
A: 	die 
A: 	ja 
B: 	en dan opsteken er nog een dinge omhoog aan de achterkant 
A: 	ja 
A: 	dus zeggen maar gewoon een soort van tafel die erdoorheen zitten 
B: 	ja 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer zestien 
B: 	en hij staan een beetje op driekwart van het scherm van links naar rechts 
B: 	en net onder het midden 
B: 	van boven naar beneden 
A: 	nee dat zijn helemaal niet dezelfde plek 
B: 	oké dat zijn duidelijk 
A: 	dat zijn rood 
A: 	ik hebben nu weer die tafel die zo erdoorheen gaan zeggen maar 
B: 	oké 
A: 	met dat piramide op de kop erop 
B: 	ja 
B: 	dat zijn bij mij P 
B: 	en hij staan van boven naar beneden in het midden 
A: 	ja 
B: 	en aan de rechterkant van het scherm ongeveer in het midden 
A: 	ja 
A: 	ja dat zijn denken ik wel dezelfde 
B: 	oké 
B: 	deze zijn met een tafel 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer veertien 
A: 	en die staan bij mij tegen het midden aan en dan helemaal naar onder 
B: 	ja 
A: 	oké 
A: 	deze zijn met die tafel erdoorheen 
B: 	oké 
B: 	dat zijn bij mij N 
B: 	en hij staan beetje link 
B: 	ongeveer op de helft van de linkerkant 
A: 	ja 
B: 	en dan net iets boven het midden 
A: 	ja 
B: 	er uitstaan er nog twee boven en vier onder aan die kant 
A: 	ja 
B: 	oké 
B: 	dit zijn met een tafel 
A: 	oké 
A: 	dat zijn nummer tien 
A: 	en die staan bij mij ongeveer precies in het midden misschien heel ietsiepietsie rechts ervan en bovenaan 
B: 	nee bij mij staan er nog één boven 
A: 	nee ja er staan helemaal links staan één op dezelfde hoogte bovenaan maar dat zijn helemaal links 
B: 	nee bij mij staan er één recht boven 
B: 	dus dat zijn denken ik waar die van jou staan 
A: 	ja oké dat zijn niet hetzelfde 
A: 	dit zijn met die tafel erdoorheen 
B: 	ja 
B: 	dat zijn bij mij d 
B: 	hij staan rechtsboven in de hoek 
A: 	ja maar er staan er nog wel één boven 
B: 	nee bij mij niet 
A: 	nee oké 
B: 	past niet 
