A: 	okan ja deze hebben aan de zijkant eigenlijk gewoon een balk die eigenlijk door het glaas heen lopen zeggen maar 
A: 	en aan het uiteinde van allebei die kant hebben het weer een rond 
A: 	aan de achterkant zitten een ja soort vierkant ja ik moeten er een beetje aan denken dat als je het zo naar voren kiepen dat er dan water uit komen 
B: 	hebben het aan de voorkant een vierkant vlak 
A: 	aan het voorkant hebben het niks 
B: 	o hij hebben hebben hij aan de achterkant een vlak 
A: 	ja alleen die staan eigenlijk zo een beetje schuin omhoog 
B: 	o lijken het ook een beetje op een gieter of zo misschien 
A: 	ja maar het hebben dus aan de voorkant helemaal niks 
B: 	nee 
A: 	ok 
B: 	hij hebben zeggen maar links een klein stuk eruit en rechts nog iets veel 
A: 	ja 
B: 	ook dan zijn het K 
A: 	hij staan bijna helemaal aan de linkerkant van het scherm 
A: 	o echt zeker iets boven het midden er zullen als het echt moeten nog een plaat link van kunnen en hij hebben aan de bovenkant nog zoiets over 
B: 	ja ik denken dat het wel 
A: 	en aan de zijkant zeggen maar dit 
B: 	ja ik denken dat het dezelfde zijn 
A: 	ok 
B: 	okan ja dit zijn de gieter met dat vlak dat je zo kunnen omklappen of zo 
A: 	ja ok en waar het aan twee kant een ding hebben met een rond aan het uiteinde ok dat zijn negen 
B: 	ja 
B: 	ja 
B: 	hij zitten rechs bovenin en er pasn rechts denken ik nog net een plaat naast en boven ook nog één 
A: 	dat zijn wel op dezelfde 
A: 	ja dit zijn het degeen met dat vlak schuin wat je eigenlijk zeggen maar beetje kunnen klappen en wat aan de zijkant twee 
B: 	ja dat zijn F 
A: 	hij zitten in het midden denken ik wel kunnen nog wel anderhalf plaat zeggen maar links van dan hebben je het einde van het scherm 
B: 	hij zitten hij zitten niet iets link van het midden 
A: 	ja hij zitten hij zeggen maar zitten zo in het midden maar niet zo in het midden 
B: 	ja 
B: 	ok 
A: 	ja hij zitten zeker nog wel een plaat van het midden in deze zin af 
B: 	ja zullen hij heel iets boven de midden zeggen maar boven de horizontaal midden kunnen zitten 
A: 	nee 
A: 	nee ik denken het niet 
A: 	want er kunnen links zeggen maar nog ongeveer anderhalf plaat naast rechts nog een plaat naast dan hebben je het midden bereiken 
B: 	link kunnen er maar anderhalf plaat naast 
A: 	ja misschien als je goed proppen twee maar 
B: 	nee dan zijn het niet hetzelfde 
A: 	ok 
B: 	ja dit zijn die gieter met dat vierkantje die ja kunnen klappen 
A: 	ja dat zijn drie 
B: 	okan ja hij zitten helemaal tegen de onderkant aan er passen links ongeveer nog twee plaat naast 
A: 	twee 
A: 	dat zijn niet dezelfde 
A: 	ja dit zijn met dat vierkant schuin wat je eigenlijk een beetje kunnen klappen of zo en 
B: 	ja 
B: 	dat zijn L 
A: 	hij zitten net iets ja hij zitten eigenlijk wel zo in het midden en net iets rechts van het midden maar niet veel 
B: 	hij zitten heel erg zo in het midden 
A: 	ja 
B: 	nee 
B: 	ja dit zijn de gieter 
A: 	zijn toch met de ook met waar die op staan toch 
B: 	met dat ding dat je kunnen klappen 
A: 	ja dat zijn vijf 
B: 	ja hij zitten ik denken wel redelijk in het midden en er passen onder ja net geen plaat en misschien net wel 
A: 	ja zijn wel dezelfde 
