B: 	dan zijn ik weer 
B: 	even kijken hoe gaan ik dit uitleggen ? als je weer het kop hebben zeggen maar de vorm van het kop 
B: 	dan gaan er een vierkant plaat gewoon recht doorheen 
B: 	aan de bovenkant steken twee klein pinne uit 
B: 	link steken een een soort haak uit 
A: 	een soort haak ja en dan hebben je nog zo'n glijbaan 
B: 	ja 
B: 	en een soort glijbaan aan de voorkant ja 
A: 	ja precies dat zijn zes 
B: 	als we dan weer een mooi kruis maken staan die van mij rechts naast het kruis helemaal bovenin 
B: 	en eigenlijk direct naast het kruis 
A: 	ja 
B: 	rechts bovenin 
A: 	dus als je de rechterhelft zullen hebben daar dan links bovenin zeggen maar 
B: 	ja ja als je ja ja precies 
A: 	ja precies 
A: 	oké dat hebben ik ook 
A: 	dus dan gaan ik voor geel 
A: 	deze hebben twee klein knopje bovenop en zo'n plaat die er dwars doorheen gaan 
B: 	ja met het soort glijbaan 
A: 	ja 
B: 	ja dat zijn C voor mij 
A: 	die zitten voor mij rechtsboven en dan boven een beetje in het midden het zijn mijn hoog aan de rechterkant 
B: 	ja 
B: 	ja bij mij er zitten er zitten nog wel rechts onder één die iets veel naar rechts staan 
A: 	ja dat wel maar hij zitten wel duidelijk aan de bovenkant ja 
B: 	oké 
B: 	wel helemaal bovenin ja 
B: 	oké dan hebben we het denken ik over dezelfde 
B: 	deze hebben de plaat die hem doormidden scheiden als het zijn met het glijbaan en de twee punt bovenop 
A: 	ja 
A: 	ik moeten hem even zoeken yes dat zijn dertien voor mij 
B: 	en hij staan voor mij helemaal linksboven in de hoek 
A: 	nee 
B: 	oké dan zijn we snel klaar 
A: 	dan 
A: 	dit zijn die met de plaat die hem doorboort en dan glijbaan twee punt 
B: 	welk hebben je 
B: 	ja 
B: 	dat zijn J voor mij 
A: 	hij zitten voor mij in het rechterondervak 
A: 	en dan ja tegen de scheidingslijn aan 
A: 	er zitten niet zo heel veel in dat rechterondervak dus dat 
B: 	ja 
B: 	zitten er niet heel veel in maar als ik een een lijn zullen trekken dan zullen het misschien dat die zullen het kunnen dat de lijn er wel echt doorheen vallen 
A: 	zullen net kunnen ja 
B: 	ja 
B: 	het enig wat daar nog rechts van zitten en iets daarboven zijn die 
A: 	er zitten iets ander ja 
B: 	ja 
A: 	maar dat dat rechterondervak zijn zeggen maar duidelijk degeen die 
B: 	veel link 
A: 	ja 
B: 	dan gaan ik er wel van uit dat we hetzelfde hebben 
B: 	en dit zijn weer met de vierkant plaat erdoorheen en de glijbaan 
B: 	en twee punt bovenop 
A: 	ja dat zijn negen voor mij 
B: 	staan bij mij helemaal rechts 
A: 	ja 
B: 	en bovenste vlak 
A: 	nee bij mij staan die niet in het bovenste vlak bij mij zijn dat de veel rechts die zitten veel aan de onderkant 
B: 	oké deze zitten zeker weten aan de bovenkant 
A: 	nee nee 
A: 	dit zijn die met het plateau dat doorboort en dan de glijbaan 
B: 	nee dat zijn N 
A: 	hij staan voor mij rechtsboven en dan Linksboven in de hoek 
B: 	ja 
B: 	daaronder staan de Pippi Langkous 
A: 	ik hebben wat ander maar er zitten wel wat onder ja 
B: 	ja ik twijfelen namelijk of de scheidingslijn hem hier niet doorboort 
A: 	dat zullen heel goed kunnen 
B: 	ja 
A: 	ja 
B: 	dan zullen het weleens gelijk kunnen zijn 
