A: 	kop 
A: 	en er zitten een driehoek op 
A: 	die zijn helemaal af 
B: 	er zitten een driehoek op 
A: 	ja 
B: 	en zijn dat een 
A: 	klein piramide 
B: 	een piramide 
A: 	ja een klein 
B: 	ja 
B: 	oké volgens mij zijn dat er maar één 
A: 	ja precies dus 
B: 	ja 
B: 	dat zijn J 
A: 	ja 
A: 	en piramide zitten helemaal rechts beneden in de hoek 
B: 	zijn die echt helemaal in de hoek 
A: 	nee hij zitten hij zijn wel een stuk van de hoek af 
B: 	ja 
B: 	maar hij zitten wel vrij onderin 
A: 	hij staan vrij onderin ja 
B: 	ja 
B: 	en aan de kant richting het scherm 
B: 	hoe vaak past die daar in 
A: 	ik denken één 
B: 	anderhalf 
A: 	ja ongeveer anderhalf keer 
B: 	dan dan zijn die goed 
B: 	oké dit zijn het kop waar de piramide op de bovenkant staan dus daar zijn er maar één van 
A: 	ja 
A: 	dat zijn zes 
B: 	en hij staan rechts onderin 
A: 	ja 
B: 	als je het vlak van het scherm rechts onderin pakken staan die ongeveer in het midden 
B: 	misschien iets veel naar rechts onderin 
A: 	ja 
A: 	oké niet helemaal in de hoek iets veel naar rechts 
B: 	nee er zullen naast hij zullen hij zullen ernaast nog wel een keer passen en eronder nog wel een keer passen 
A: 	ja ja daar staan die bij mij ook 
A: 	zelfde 
A: 	mijn hebben een zitten een driehoek op mijn 
A: 	er zitten een driehoek op 
A: 	daar zijn er maar ook maar één van 
B: 	ja 
B: 	met een soort van kegel ook aan de linkerkant die heel puntig afloopt 
A: 	ja precies 
B: 	oké dat zijn E 
A: 	precies 
A: 	en hij zitten aan de rechterkant 
A: 	en hij kunnen nog anderhalf keer naar beneden 
A: 	en nog een hoop keer naar boven 
A: 	en nog een hoop keer naar rechts 
A: 	dus 
B: 	bij mij kunnen die ongeveer twee à drie keer naar rechts 
B: 	ik denken twee keer naar rechts 
A: 	nee dat kloppen niet 
A: 	zitten Jouwne wat veel richting het scherm 
A: 	of zitten die veel richting het midden ? want mijn 
B: 	hij zitten wel eigenlijk in het midden eigenlijk qua afstand van de zijkant 
A: 	en en naar beneden hoeveel keer kunnen je naar kunnen je naar beneden 
B: 	ja 
B: 	ik denken dat die er één keer echt in zullen aanpassen 
B: 	dat je op de afstand die ze nu allemaal van elkaar hebben 
A: 	ja 
B: 	zeggen maar zullen die nog één keer onder kunnen 
A: 	oké 
A: 	ja ik denken dat de hij zitten heel hij zitten heel erg in het midden dus 
A: 	dan denken ik ja ik denken dat die wel goed zijn deze 
B: 	moeten ik doen 
B: 	er zitten een driehoek op 
B: 	en hij zijn nog heel 
A: 	ja 
B: 	dus er zijn er maar één van 
A: 	met de raar vorm aan de voorkant die ik niet kunnen uitleggen 
B: 	ja 
A: 	dat zijn tien 
B: 	hij zitten linksonder in het scherm 
A: 	ja 
A: 	maar kunnen je naar beneden 
B: 	nee niet echt 
A: 	hij zitten wel echt tegen het tegen beneden aan toch 
A: 	echt heel erg 
B: 	nou niet heel erg hij hij zullen nog naar beneden kunnen 
A: 	nog gewoon een half keer of zo 
B: 	ja 
A: 	oké dan zijn die bij mij goed 
A: 	en hij zitten helemaal nee sorry het zijn die een met de driehoek erop 
B: 	ja en al rotzooi eronder omheen 
A: 	ja rotzooi eronder 
B: 	ja 
B: 	ik ik hebben hem ook zelf echt voor mezelf als kutzooi ik hebben alles één woord geven zodat ik in die in die machine ook gewoon in die MRI ook gewoon gelijk wat hebben 
A: 	ja 
A: 	ja ja 
B: 	dat die gewoon 
B: 	dat zijn G 
A: 	en hij zitten helemaal linksboven in de hoek 
B: 	ja 
B: 	iets ja dat zijn goed 
B: 	hoeveel ruimte zitten ertussen 
A: 	hij kunnen niet hij kunnen niet één hij kunnen niet één keer naar boven en hij kunnen misschien een half keer naar links 
B: 	ja 
B: 	dat hebben ik ook ja 
B: 	ja 
B: 	waar de driehoek op staat 
A: 	waar de driehoek op staat 
A: 	ja die 
A: 	ja en de rond rotzooi eronder 
B: 	ja 
A: 	tien 
B: 	rechterkant 
B: 	onder de middellijn 
B: 	en hij kunnen er ongeveer anderhalf keer onder 
B: 	en ook anderhalf keer naar het scherm 
A: 	hij kunnen er anderhalf keer onder 
A: 	nee dat kloppen bij mij van geen kant 
