A: 	koffiekopje 
A: 	met iets rechts aan de voorkant een schuin omhoog klein uitsteeksel met daarop een rond vlak 
A: 	en link een uitsteeksel dat met een beetje fantasie op een oor lijken maar dan flink 
B: 	een oor 
A: 	uittrekken en daarbovenop staan een een ja soort obelisk omgekeerd hakt erin 
B: 	ja dat spiest er een beetje in 
B: 	ja 
B: 	je hebben dus een koffiekopje met een een soort dienblad weer eraan 
A: 	ja 
B: 	ja 
B: 	dat zijn letter L 
A: 	van de onderste rij waar er drie staan bij ons allebei 
A: 	staan die link 
A: 	dus dat zullen het kwadrant linksonder zijn 
A: 	en dan in dat kwadrant ongeveer in het midden 
A: 	en dan onderaan 
B: 	staan die in het midden bij jou 
A: 	van dat kwadrant 
B: 	er zullen nog wel iets naast passen link 
A: 	er zullen nog wel iets naast passen 
B: 	nee bij mij staan die best wel veel aan de rand van het scherm dus ik denken dat die dan net ergens ander 
A: 	nou bij mij passen er echt nog makkelijk één naast 
B: 	nee dat gaan hem niet worden 
B: 	ander plek 
B: 	de volgen zijn het koffiekopje met een dienblad eraan vast en een uitsteeksel wat jij op een oor vinden lijken 
B: 	met een obelisk eraan 
A: 	ja 
A: 	nummer zeven 
B: 	hij staan bij mij in het Linksbovenkwadrant 
A: 	bij mij ook 
B: 	zo dicht mogelijk van het midden 
B: 	en zeggen maar qua hoogte in het midden van het kwadrant 
B: 	er zullen heel krap misschien iets boven passen 
B: 	klein 
A: 	de bij mij zullen er wel zeker iets boven passen 
A: 	eens even kijken of we dat misschien iets ander zien 
B: 	maar er zullen 
B: 	ja het er passen wel iets boven maar dan worden het wel net bijna tegen elkaar aan 
B: 	ja ruimtelijk inzicht van een vrouw hè ? dat weten ik ook niet 
A: 	ik willen het niet zeggen 
B: 	ja daar past wel iets boven als je 
A: 	laten ik het zo zeggen van het kwadrant Linksboven 
B: 	ja 
A: 	staan die het veel in het midden 
B: 	qua hoogte 
B: 	qua hoogte of qua 
A: 	ik dan vinden ik de zuignap misschien nog iets veel in het midden staan 
B: 	qua hoogte als je het linkerkwadrant nemen dan zullen die wel in het midden van dat kwadrant staan nu ik het zo kijken 
A: 	zo zo goed als 
A: 	ja 
B: 	en qua als je hem op de horizontaal lijn gaan kijken dan staan die helemaal richting het midden 
A: 	ja 
B: 	oké dan zullen het denken ik toch dezelfde plek zijn 
A: 	ik durven hem wel ik durven hem wel te doen 
A: 	het koffiekopje met rond dienblad met een oor 
A: 	en een ding erin 
B: 	ja 
B: 	die dat oor 
B: 	ja 
B: 	dat zijn letter C 
A: 	hij staan in het midden en vanuit de lijn van het midden iets 
A: 	rechts daarvan 
A: 	en er staan er nog één boven 
A: 	voor mij het broodrooster 
A: 	die staan er schuin links boven 
B: 	waar staan die in het midden ? op deze lijn of op die lijn 
A: 	de verticaal lijn 
B: 	staan die echt in het midden 
A: 	die zullen daar door het oor snijden 
B: 	nee dan staan die bij mij echt rechts daarvan 
A: 	nee 
B: 	dan moeten het dezelfde zijn 
B: 	met dat oor 
A: 	ja even zoeken waar zijn je ? waar zijn je ? waar zijn je ? ja 
A: 	en dat zijn nummer één 
B: 	hij staan net onder de horizontaal middellijn in het linksonderkwadrant 
B: 	er zullen nog net iets link van toepassen 
A: 	een klein varken misschien 
B: 	een klein varken kunnen er denken ik nog wel ja 
A: 	ja 
B: 	ja 
A: 	ja 
A: 	dat zijn gelijk 
A: 	het oor 
B: 	het oor waar staan die ook alweer 
B: 	ja 
B: 	letter A 
A: 	kwadrant linksonder 
A: 	in het horizontaal midden daarvan 
A: 	vrij aan de bovenkant van het kwadrant 
B: 	ja aan de bovenkant van de 
B: 	horizontaal ja 
B: 	daar willen ik hem wel op zetten 
B: 	het oor 
A: 	het oor het oor het oor 
B: 	met die obelisk 
A: 	ja 
A: 	dertien 
B: 	staan in het linksonderkwadrant 
B: 	ja je zullen het als je het midden van dat kwadrant pakken zullen je ongeveer de bij dat plaat uitkomen 
B: 	iets daaronder zitten dat plaat dan 
A: 	nee 
A: 	bij mij staan die link van het scherm 
A: 	en of het of we het boven of onderkwadrant noemen zullen ik niet eens durven kiezen 
B: 	bij mij zullen er aan al kant in ieder geval iets naast passen 
A: 	nee nee nee 
