B: 	oké dit zijn het die emmer met het vierkant helemaal onderop 
A: 	ja 
B: 	en dan staan die emmer staan daarbovenop en dan hebben die drie van die kraaldingetjes wat zijn het ? diamant weten ik het aan de buitenkant en een rond aan de voorkant 
A: 	ja 
A: 	ja precies 
A: 	ja 
A: 	ja precies 
A: 	dat zijn vijf 
B: 	en dan staan die voor mij aan de linkerkant van het scherm 
A: 	ja 
B: 	ja hoe gaan ik dit dan precies uitleggen 
B: 	aan de linkerkant van het scherm niet op de onderste rij 
A: 	nee 
B: 	maar net net daarboven dus je hebben op de onderste rij hebben je er drie 
B: 	hebben jij dat ook 
A: 	ja 
B: 	en dan hebben je van de helemaal linker staan hij precies daarboven 
A: 	nee dat hebben ik niet 
A: 	nee 
A: 	die van mij staan echt zeggen maar je hebben dan zeggen maar als je die horizontaal lijn in het midden hebben 
B: 	ja 
A: 	daar staan die van mij nog boven zeggen maar 
B: 	oké nee dat dat halen die bij mij zitten die er echt onder 
A: 	nee nee nee 
A: 	oké 
A: 	dan zijn het niet 
A: 	ja dit zijn die dit zijn die figuur met die met die zes rui zo aan de zijkant en die en dat rond voor zeggen maar 
B: 	ja J 
A: 	en die zijn bij mij echt strak rechtsonder in de hoek 
B: 	ander plek 
B: 	dit zijn die met die gek ding aan de buitenkant 
B: 	die die die zes blok 
A: 	ja precies dat zijn elf 
B: 	en die staan aan de linkerkant 
B: 	en dan op de horizontaal lijn ongeveer in het midden 
B: 	net iets eronder 
A: 	ja 
A: 	en dan 
B: 	en dan ook weer in het midden midden van de van het linkervak linkervlak 
A: 	link 
A: 	ja precies ja dan staan die denken ik op dezelfde plek 
A: 	ja dit zijn weer die die emmer met aan aan de beide kant die die drie ruit zeggen maar 
A: 	en aan de voorkant dat rond 
B: 	ja P 
A: 	en die zitten dan ja uit uit het zeggen maar het midden 
A: 	en dan van de middel lijn zitten die er net iets rechts van 
A: 	boven 
A: 	niet helemaal boven 
B: 	ik hebben hem wel veel ver naar rechts staan denken ik 
A: 	ja bij 
B: 	want ik hebben hem als ik het rechterscherm hebben daar het midden van 
A: 	nee nee nee bij mij zitten die echt hier 
B: 	nee ja bij mij helemaal hier dus ander plek 
A: 	zitten hier 
A: 	nee nee nee nee 
B: 	zo omschrijfen 
B: 	dit zijn die dat zijn dat vierkant vlak onderop en dan die die zes dinget 
A: 	ja precies 
B: 	drie aan beide kant 
A: 	en dat rond voorop 
B: 	ja 
A: 	ja 
A: 	dat zijn negen 
B: 	en die staan in het midden helemaal bovenaan 
A: 	nee nee nee 
A: 	bij mij niet 
A: 	ja dit zijn die met die met die rui aan de zijkant die drie 
B: 	ja dat zijn L 
A: 	ja 
A: 	en die zitten dan of de verticaal lijn 
A: 	link daarvan 
B: 	nee rechts ervan 
A: 	bij mij zitten die hier zo 
B: 	ja bij mij ook 
A: 	ja dat kunnen dat kunnen niet 
