A: 	oké ik hebben nu die een met die driehoek bovenop 
A: 	en die driehoek hebben een beetje raar kleur vinden ik maar 
B: 	lijken een beetje op een hoed vinden ik 
A: 	ja misschien wel denken ik 
B: 	of niet 
A: 	ja ik denken het wel 
A: 	en dan zitten link nog een soort van raar wervelwolk of zo 
B: 	ja 
A: 	dat zijn een beetje een raar figuur 
A: 	en dan zitten linksonder nog een soort van schijf en rechts zitten één ja 
A: 	ja ook een raar figuur 
A: 	ik kunnen het niet zo goed 
B: 	met vier hoek maar dan geen vierkant 
A: 	ja 
B: 	oké 
B: 	dat zijn bij mij J 
B: 	en hij staan rechtsonder 
A: 	ja 
A: 	er kunnen denken ik nog twee klein of één groot naast maar er kunnen niks veel onder en hij hebben best wel heel veel ruimte om zich heen 
B: 	ja 
B: 	maar er ja er kunnen er denken ik wel twee naast zeker 
A: 	ja dat oké dat ja dat denken ik ook wel ` 
B: 	oké 
B: 	zelfde plek 
A: 	ja 
A: 	ja 
B: 	deze hebben een soort driehoek aan de bovenkant 
B: 	en het vierhoekding wat niet vierkant zijn of geen kubus zijn aan beetje voorkant rechts 
B: 	en dan links die ja wolk of zoiets of hoe noemen je het 
A: 	ja dat zo uitlopen ding 
B: 	ja 
B: 	en dan aan linksonder nog een schijf 
A: 	ja 
A: 	ja dat zijn nummer zes 
A: 	en die staan rechts onderin en er past nog een groot naast en een groot eronder 
B: 	ja 
B: 	bij mij ook 
A: 	oké 
A: 	deze hebben die driehoek bovenop en dat soort van wolk wervelwindje link 
A: 	en die raar uitstekend vorm rechts en dan weer dat rond link onderaan 
B: 	ja 
A: 	met een hap eruit zeggen maar 
B: 	ja 
B: 	dat zijn bij mij E 
B: 	en hij staat ongeveer op driekwart van links naar rechts 
B: 	en van boven naar beneden ook 
B: 	en dan onder 
A: 	nee die van mij staan denken ik wel echt veel naar het midden toe 
B: 	er staan er bij mij geen veel rechts van 
A: 	ik denken het 
A: 	nee bij mij wel 
B: 	oké 
A: 	dus dan zijn het niet hetzelfde 
B: 	deze zijn met de driehoek aan de bovenkant en de schijf aan de onderkant en rechts het vierhoek en links de 
A: 	wolk dinge 
B: 	ja 
A: 	ja 
A: 	dat zijn nummer tien 
A: 	en die staan denken ik ongeveer op een kwart er staan er nog één link van op die hoogte en hij staan helemaal onderaan 
B: 	nee bij mij staan die er staan er één rechts van maar op dezelfde hoogte staan er geen link van 
A: 	nee 
B: 	dus dan zijn het niet dezelfde 
A: 	oké dat zijn niet hetzelfde 
A: 	oké 
A: 	ik hebben nu die een met die driehoek bovenop en dat soort van wolk links 
B: 	ja 
B: 	waar staan die 
B: 	ja 
B: 	dat zijn bij mij G 
B: 	en die staan helemaal linksboven in de hoek 
A: 	ja in zijn één 
B: 	ja 
A: 	ja 
B: 	dit zijn met dat wolk aan de linkerkant en een driehoek bovenop 
A: 	ja 
A: 	dat zijn nummer tien 
A: 	en die staan rechts 
A: 	er staan er nog ja de rechterhoek zijn best wel leeg en dan hebben je zo drie van die figuurt en dan zijn het de middel 
B: 	ja 
B: 	ja 
A: 	oké 
