B: 	ok dit zijn dus wel dat beker met die oor 
B: 	en het zijn met een vlak onderaan alsof hij op een tafel staan en met zo'n rond voor ze aan de voorkant 
A: 	ja 
A: 	ja 
A: 	en die twee macaroni dinge op de achtergrond oken ja dat zijn nummer vijf bij mij 
B: 	ja 
B: 	en dan zitten hij in het vak linksonder 
B: 	in het groot vak laten maar zeggen en dan aan de bovenste helft in het midden 
A: 	ja 
A: 	ja 
A: 	ja bij mij als ik het zeggen maar in een driehoek in een kruis zullen verdelen zullen hij echt op het midden van aan de linkerkant maar dan tussen laag en hoog precies op de middenlijn zitten 
B: 	dus in het klein vak in het midden 
A: 	nee ja dus in ja in neeneenee in het in het groot vak en dan op aan de linkerkant maar dan precies op de middenlijn tussen het bovenste en het onderste vak 
B: 	o 
A: 	zeggen maar 
B: 	bij mij zitten hij dan 
B: 	opzich wel duidelijk 
A: 	ja bij mij zullen het niet duidelijk zijn in welk of hij nou echt onder zitten of boven dus dan denken ik dat hij op een ander plek zitten dus dan moeten ik op rood drukken 
B: 	linksonder 
B: 	ok 
B: 	ja 
B: 	ja 
A: 	ja dit zijn die kop die op dat plateau staan met die aan beide kant drie van die 
A: 	bollet of diamant die er zeggen maar uitkomen en zo'n vlak voor en die macaroniding op de achtergrond ja 
B: 	en de voorkant zo'n ding 
B: 	ja dat zijn voor mij J 
A: 	en die staan echt helemaal in de rechter onderhoek zeggen maar je kunnen niet echt ver 
B: 	bij mij staan het niet in de hoek 
A: 	okan ja nee die van mij staan wel echt in de hoek 
B: 	zijn rood 
B: 	dit zijn met het tafel er onder en die twee spriet ding met die drie bollet 
A: 	en dat rond er voorop en die 
B: 	en de twee macaroni's 
A: 	ja dat zijn nummer elf 
B: 	en hij liggen links eigenlijk op de middenlijn van de horizontaal lijn 
A: 	ja ja en dan redelijk ook naar richting de middellijn van de verticaal of dat niet 
B: 	dat zijn veel de helft 
A: 	o ja die van mij liggen wel echt over de helft naar het midden 
A: 	ja nee die liggen wel 
B: 	dus links van hem toepassen er nog wel twee á drie ? twee 
A: 	ja bij mij passen er echt wel sowieso veel dan twee dus ik denken dat die van mij teveel naar rechts zitten 
B: 	rechts liggen 
B: 	ok 
B: 	ik weten echt niet hoe hoe precies het komen maar 
A: 	nee ik ook niet maar dat komen we wel achter of niet 
A: 	dit zijn die op dat plateau staan met die twee sliert die er uitkomen en dat rond er voorop en macaroni 
B: 	en Macaroni 
B: 	ok dat zijn voor mij P 
A: 	en hij liggen in het rechter bovenvak en dan een beetje 
A: 	ja links midden ? er kunnen er nog één boven 
A: 	en hij liggen ja bijna op de middenlijn een centimeter van de horizontaal of van de verticaal middenlijn zeggen maar van de groot vak 
A: 	als je je hebben ook zo'n benQ ding beeldscherm 
B: 	ja 
A: 	dus als je die q zeggen maar doortreken dan raken hij het rood vlak bij mij 
A: 	naar boven 
B: 	dat plaat raken die q als je die doortrekken 
A: 	ja net niet net niet neenee 
B: 	nee ok bij mij zitten er wel veel ruimte tussen 
A: 	ja dat scheelen ja misschien een centimeter 
A: 	denken ik 
B: 	ja bij mij liggen hij veel in het midden van het klein vak dus midden midden en dan iets naar links 
A: 	dus als je het midden midden hebben en dan iets naar links ervan 
A: 	ik denken dat hij eigenlijk wel op dezelfde plek liggen 
B: 	ja 
B: 	ok dan doen we dat 
B: 	dit zijn met die twee macaronie op een tafel en die twee oor 
A: 	ja 
A: 	dat zijn nummer negen 
B: 	en hij liggen op de verticaal middenlijn helemaal bovenin en er past er niet één boven 
A: 	bij mij passen er wel passen er nog wel twee boven 
A: 	dit zijn met dat plateau met die twee friemeltjes aan de zijkant en macaroni op de achtergrond en een rond plaat voorop 
B: 	ja dat zijn L 
A: 	en hij liggen Linksboven en dan rechts op de horizontaal middenlijn van het klein vak 
A: 	een beetje richting de verticaal middenlijn van het groot vak 
B: 	Wow dit zijn met die macaroni 
A: 	ja 
B: 	en hij liggen Linksboven 
A: 	ja 
B: 	nee 
A: 	ok 
