B: 	oké deze zien eruit alsof er een soort tafel vastmaken zijn aan het object 
B: 	en dat op dat tafel nog een komme staan eigenlijk 
B: 	dus je zien je zien 
A: 	ja ja ik snapen wat je bedoelen dat zijn een soort van ontbijtopbedtafelt 
B: 	ja 
B: 	ja precies zo zo hebben ik het net ook een beetje 
A: 	ja ja ja 
A: 	ja 
A: 	zestien 
B: 	ja 
B: 	oké 
B: 	en hij je hebben twee object helemaal rechts 
B: 	en daar dan als je dan de onderste hebben zitten die link van de onderste daarvan 
A: 	nee bij mij staan die helemaal rechtsboven 
B: 	oké ja 
A: 	dus dat kloppen niet 
A: 	dit zijn eigenlijk weer dat ontbijtopbedtafelt 
B: 	oké ja ja dat zijn P 
A: 	met dat bak erop 
A: 	en bij mij als ik kijken rechts zitten er vijf figuur 
A: 	schuin over mekaar en daar zijn het de middel van 
B: 	helemaal rechts en dan zeggen maar de drie van boven bedoelen je 
A: 	ja 
B: 	ja 
B: 	inderdaad 
B: 	oké dit zijn ja tafel ontbijttafeltje met bakje erop 
A: 	ja nou dat zijn nummer veertien 
B: 	en hij zitten van de drie onderste de helemaal helemaal rechts 
A: 	ja bij mij ook 
A: 	dit zijn eigenlijk dat ontbijttafeltje weer met dat bak erop 
B: 	ik zoeken hem ja dat zijn N 
A: 	en even goed kijken ja bovenin links hebben je twee figuur naast mekaar 
B: 	ja 
A: 	en diegene die daaronder zitten 
B: 	daaronder 
B: 	ja bij mij ook 
B: 	ontbijttafel met bakje 
A: 	ja even kijken waar die zitten ja dat zijn nummer tien 
B: 	en als je je hebben de bovenste in het midden 
B: 	daar recht onder 
A: 	nee bij mij zitten die helemaal boven in het midden 
B: 	oké 
A: 	dus dat kloppen niet 
A: 	ja dit zijn het ontbijttafel weer met dat bak erop 
B: 	ja dat zijn D 
B: 	en hij zitten bij mij rechts helemaal rechtsboven 
A: 	nee bij mij zitten die daaronder 
B: 	oké 
