A: 	oké deze hebben aan de zijkant twee rechthoekig uitstulping die iets van mekaar af staan 
A: 	aan de bovenkant inderdaad een soort van lampenkap 
B: 	ja 
A: 	erop en aan de linkerkant zitten onderaan een een uitsteeksel en in het midden ongeveer ook nog een een klein uitsteeksel 
B: 	ik zien het het zijn I 
A: 	oké 
B: 	ik hebben hem 
A: 	yes 
A: 	dan moeten je nog even op het knop drukken 
B: 	ja 
B: 	ja 
A: 	en dan zitten die ja stuk naar links van het midden 
B: 	ja 
A: 	en ja ook weer ongeveer aan de bovenkant van het scherm in het midden 
B: 	ja 
A: 	oké 
B: 	bij mij ook 
B: 	nou ja dit zijn weer die een met de lampenkap erop en die twee cilinder die eruit steken aan de rechterkant 
A: 	cilinder of rechthoeak 
B: 	rechthoeak correctie 
A: 	ja oké en aan de linkerkant steken ook nog twee ding uit 
B: 	ja 
B: 	ja ja 
A: 	ja oké dat zijn twee voor mij 
B: 	ja 
B: 	hij staan bij mij links onderin 
B: 	maar niet helemaal links van het midden 
B: 	dus een beetje ja link 
B: 	en dan ook in het midden van tussen de middellijn en het het onderste 
A: 	ja precies 
B: 	oké 
A: 	oké ja 
A: 	oké deze hebben de omgekeerde lampenkap erbovenop en de de rechthoeak aan de twee rechthoeak aan de rechterkant 
B: 	ja 
A: 	en die twee ander ding links 
B: 	ja M 
A: 	ja 
A: 	yes 
A: 	en ja hij zitten best wel ver naar de linkerkant 
A: 	en ook eigenlijk wel er past geen kop veel onder zeggen maar 
B: 	nee 
A: 	oké 
B: 	helemaal links onderin bij jou 
A: 	ja 
B: 	oké ja bij mij ook 
A: 	ja 
A: 	ja 
B: 	dit zijn de lampenkap met de twee balk eruit 
A: 	even kijken 
A: 	de even kijken hoor 
A: 	ja en dan links ook die ding 
B: 	ja ja ja ja 
A: 	ja oké dat zijn negen 
A: 	ik moeten hem even zoeken waar die staan 
B: 	oké 
B: 	die staan ja Linksboven 
B: 	maar wel langs het midden van rechts van het midden van link 
A: 	ja oké 
A: 	yes 
A: 	oké omgekeerde lampenkap erop 
A: 	met de met de twee rechthoeak rechts en de twee dinget 
B: 	F 
A: 	en hij staan een stuk rechts van het midden 
A: 	en ja redelijk onderaan 
B: 	zitten zitten hij tussen twee ander ding in 
A: 	ja 
A: 	ja ja ik ja 
B: 	ja bij mij ook 
B: 	het zijn de lampenkap met de twee balk 
A: 	even kijken 
A: 	ja 
A: 	dat zijn dat zijn zes 
B: 	en hij staan ja op de middellijn 
B: 	en dan van de middellijn iets naar links 
A: 	ja oké 
