B: 	de lang die er zijn het staan echt op zo'n voetstuk 
A: 	ja dat zijn nummer vier 
B: 	weten je hem 
B: 	ja 
B: 	en die staan bij mij eigenlijk helemaal rechts bovenin maar er zullen wel nog in principe een plaat langs passen 
A: 	bij mij staan die niet helemaal bovenin en ook niet helemaal rechts 
A: 	zullen boven nog wel een plaat passen en rechts nog zeker twee 
B: 	oké 
B: 	dan zullen ik het niet doen 
A: 	dus 
A: 	ik hebben de heel lang heel langwerpig 
B: 	oké 
B: 	dat zijn bij mij A 
A: 	dan staan die links zo goed als in het midden maar ongeveer twee naar links 
B: 	dat er aan de linkerkant twee over zijn of niet 
A: 	ja 
B: 	oké ja bij mij passen er link niks veel tussen de rand van het scherm 
A: 	dan zijn het anders 
B: 	dan zijn het hem niet toch 
A: 	ja dat zijn hem niet 
B: 	ik hebben dat heel lang figuur 
A: 	nummer tien 
B: 	en hij staan bij mij helemaal onderin 
B: 	en er kunnen er nog twee naast 
A: 	hebben ik ook wel 
A: 	ik hebben de heel lang 
B: 	dat zijn bij mij L 
A: 	en die staan zo goed als rechtsboven kunnen nog één rechts en een heel klein daarboven 
B: 	ja 
B: 	op dezelfde hoogte als het vogel 
A: 	ja ja 
B: 	ja 
B: 	ik hebben het lang voorwerp 
B: 	die heel lang 
A: 	nummer vier 
B: 	en bij mij staan die net iets naar links en net iets onder het midden 
A: 	ja 
A: 	ik hebben de lang langwerpig 
B: 	dat zijn F 
A: 	hij staan zo goed als in het midden iets naar rechts iets naar boven 
B: 	nee hij staan bij mij aan de linkerkant 
A: 	oké 
