A: 	oké deze hebben een piramide op zijn hoofd 
B: 	ja 
A: 	ja dat zijn eigenlijk het dat zijn het groot onderscheid tussen al die ander ding en dan zitten er nog van alles aan heel groot 
B: 	zitten daar echt zo'n heel random een soort alsof een kogel aan de ? ja 
A: 	ja 
A: 	precies die bijna erin zitten 
B: 	dat zijn J 
A: 	en hij zitten bij mij helemaal onder en dan niet helemaal rechts maar een stuk naar ja zo'n stuk naar links 
B: 	helemaal onder en dan naar links zeggen jij 
A: 	ja 
A: 	sorry naar rechts 
B: 	naar rechts 
A: 	sorry 
B: 	oké ja dan staan die op dezelfde plek dus rood 
A: 	ja 
B: 	deze hebben een piramide op zijn hoofd en aan de linkerkant een kogel die er bijna doorheen gaan 
A: 	ja 
A: 	zes 
B: 	en dit poppet staan in het midden 
B: 	en dan twee stap naar rechts 
B: 	en een beetje naar onder 
B: 	vaststaan niet helemaal onderaan hij staan ook niet helemaal aan de rechterkant 
A: 	kunnen er één zo nog één tussen of kunnen er nog wel twee tussen 
B: 	van vanuit welk kant 
A: 	van vanaf rechts 
B: 	vanaf rechts ja er zullen nog één poppe tussen kunnen 
B: 	beetje krap 
A: 	ja nee dan zijn het op dezelfde plek 
A: 	rood 
A: 	met de piramide bovenop 
B: 	ja en de kogel die er bijna doorheen gaan 
A: 	piramide en een kogel ja 
B: 	E 
B: 	waar staan die 
A: 	sorry 
A: 	ik vergeet dat de heel tijd 
A: 	hij staan een even kijken een beetje naar beneden 
A: 	zeggen maar halverwege naar beneden 
A: 	en een tik naar rechts 
B: 	nee bij mij staan die wel echt halverwege rechts 
B: 	dus 
A: 	nee nee daar staan die niet 
B: 	nee 
B: 	dus dan zijn het geel 
B: 	dit zijn met de piramide boven en de kogel aan de linkerkant 
A: 	ja dat zijn tien 
B: 	en deze staat vanuit midden naar links en dan helemaal naar onder 
A: 	ja 
A: 	zelfde plek rood 
A: 	rood 
A: 	de piramide 
A: 	zijn helemaal linksboven staan die bij mij 
B: 	ja dat zijn G 
B: 	jij zeggen helemaal Linksboven 
A: 	ja 
B: 	hij staan best wel eenzaam 
A: 	ja 
B: 	ja dan kloppen het dan zijn het rood 
A: 	rood 
A: 	ja 
B: 	piramide op het hoofd en kogel 
B: 	die er bijna doorheen gaan 
A: 	tien 
B: 	en deze staan in het midden 
B: 	en dan best een stuk naar rechts en een stuk naar onder 
A: 	ja 
A: 	kloppen rood 
