B: 	oké ja dit zijn die we net denken dat dat je die hebben dat zijn met dat ja wat ik vinden zijn een picknicktafel 
B: 	dus ook met dat vlak maar dan aan de bovenste helft van het kop zeggen maar 
A: 	ja 
B: 	doorheen met die twee schuin poot en dan dat trechterdinge erbovenop 
B: 	ik vinden een beetje de poot van een picknicktafel omdat ze zo schuin staan 
B: 	weten je welk ik bedoelen 
A: 	dat snap ik wel ja 
B: 	ja 
A: 	ja er zitten er zitten zeggen maar een bak nog op het tafel een soort van 
B: 	ja ja 
A: 	ja 
A: 	nee oké hebben ik hem 
B: 	ja 
A: 	dat zijn nummer zestien 
B: 	die staan bij mij ja zullen die nou hij ik denken dat de middellijn horizontaal dat die hem kruisen 
A: 	de middellijn kruisen hem 
B: 	en dan staan 
B: 	ja de horizontaal middellijn die kruisen dat ding 
A: 	oké daar staan die al helemaal niet 
B: 	oké 
B: 	dus dan rood 
A: 	dit zijn het picknick tafel 
B: 	oké 
B: 	dat zijn bij mij P van picknick 
B: 	dus 
A: 	hij staan eigenlijk op de hij staan rechts en dan op de middellijn 
B: 	ja op de op de horizontaal middellijn 
A: 	ja op de de horizontaal lijn 
A: 	en dan eigenlijk ook weer gewoon in het midden 
B: 	ja ja bij mij ook 
B: 	oké dit zijn met die picknicktafel 
A: 	ja 
A: 	even daar 
A: 	nummer veertien 
B: 	en die staan bij mij ja linksonder 
B: 	tegen de middellijn aan 
B: 	en dan ja er kunnen eigenlijk niks veel onder 
A: 	ja 
A: 	nee 
B: 	hij staan nog laag dan die vogel 
A: 	hij staan nog laag dan het vogel 
B: 	ja 
A: 	ja 
A: 	dan staan die goed 
A: 	de picknicktafel 
B: 	oké dat zijn bij mij N van Nico 
A: 	sorry hij staan Linksboven ook wel eigenlijk tegen die horizontaal lijn aan 
B: 	ja 
A: 	en echt wel in het midden 
B: 	ja 
A: 	van de verticaal naar buitenkant 
B: 	ja 
B: 	ja 
A: 	ja 
B: 	hij staan zo schuin boven die ober zeggen maar met dat dienblad 
A: 	ja 
B: 	ja 
B: 	oké 
B: 	nu met die picknicktafel maar nu zijn ze allemaal weer veranderen 
A: 	ja zijn nummer tien 
B: 	die staan bij mij ik denken dat het midden er wel doorheen lopen eigenlijk 
A: 	ja bijna wel 
B: 	ja 
A: 	wel net iets veel naar de rechterkant neigen die 
B: 	ja 
A: 	en bovenaan helemaal 
B: 	nee 
B: 	nee 
B: 	nee er staan zelfs nog één boven 
B: 	die met die Pippi Langkousdingen 
A: 	dan zijn die omgedraaien 
B: 	dus dan zijn er één omgedraaien 
A: 	maar die Pippi Langkous die neigen toch iets dan ja ? oké 
B: 	ja die neigen dan iets naar en die dan zitten die picknicktafel misschien iets naar links 
A: 	nee dan zijn die precies omdraaid oké dus dat kloppen niet 
B: 	ja 
B: 	oké 
A: 	de picknicktafel 
B: 	ja 
A: 	staan rechts 
B: 	hij moeten kunnen niet weg zijn 
B: 	ja bij mij staan die rechtsboven zeggen maar dat zijn D 
A: 	in een 
A: 	ja 
A: 	rechtsboven maar er zitten er nog één wel boven zeggen maar 
B: 	nee bij mij zitten daar niks veel boven 
A: 	oké 
