B: 	oké deze noemen ik stoom uit de oor 
B: 	omdat die drie van die aan beide kant drie van die bolle uit de oor hebben uit de 
A: 	van die spiraalt 
B: 	ja van die spiraalt ja 
A: 	ja ja ja 
B: 	ja 
A: 	ja oké 
B: 	en die hebben ja van die armpjes in het water of zo 
A: 	ja ja ja 
A: 	ja ja ja ik snapen hem ja 
B: 	ja 
B: 	oké dat zijn bij mij A 
A: 	A vijf 
B: 	hij staan links in het scherm 
A: 	ja 
B: 	er staan nog één ding helemaal onder 
B: 	en er kunnen ook nog links iets langs 
B: 	er vaststaan ook nog links iets langs dus 
B: 	oké 
A: 	midden oké te één middel hoogte 
B: 	ja iets iets daaronder 
B: 	iets onder de middel hoogte 
A: 	oké 
B: 	en dan hebben je midden van het scherm 
A: 	ja 
B: 	dan midden tussen links en midden 
A: 	midden tussen links en het midden 
B: 	ja 
B: 	dus in het midden ja dus linksmidden zeggen maar 
A: 	oké 
A: 	zullen er nog net één plaat tussen kunnen 
B: 	tussen midden en link 
A: 	nee tussen links en dat plaat 
B: 	ja dat kunnen 
A: 	nog net of meerdere 
B: 	er staan er bij mij één tussen nog 
A: 	nee dan dan zijn het niet dezelfde 
A: 	dus niet dezelfde rood 
A: 	degeen met die drie raar dinge aan de zijkant van het hoofd aan beide kant 
B: 	even kijken 
A: 	met plaat op de voorkant 
A: 	met een armp uit het water hoe jij dat noemen 
B: 	die ja 
B: 	J 
B: 	en bij jou 
A: 	tien 
B: 	J tien 
A: 	helemaal rechts onderin 
B: 	en 
B: 	dus kunnen er nog iets naast 
A: 	nee 
B: 	rechts ? nee dan zijn het niet dezelfde plek 
B: 	dit zijn met die drie dinge zo uit de uit de uit de zijkant 
A: 	ja 
B: 	d 
A: 	elf 
A: 	d elf 
B: 	en als je naar links gaan eigenlijk in het midden 
A: 	qua midden hoogte 
B: 	midden hoogte midden midden 
A: 	net wat naar links 
B: 	ja nee wel echt naar link midden midden midden link ook 
B: 	dus midden hoogte midden link 
B: 	dus 
A: 	oké nee dan zijn het niet hetzelfde 
A: 	oorbel drie van die bollet aan de zijkant van het hoofd 
B: 	ja 
A: 	zestien 
B: 	wachten dit de de drie drie 
A: 	ja ja ja 
B: 	ja 
B: 	P zestien 
A: 	zestien 
A: 	qua hoogte halverwege van het midden naar boven 
A: 	kunnen er nog één boven 
A: 	één stap naar rechts vanuit het midden zien 
B: 	poeh die vinden ik moeilijk 
B: 	want dit zullen ook een ander kunnen zijn staan er bij jou daar drie op een rij rechts 
B: 	bovenin een beetje 
A: 	ja er kunnen er nog als je heel goed prpen kunnen er nog drie naast 
B: 	ja als je goed passen zullen er er bij al drie nog één boven kunnen ook 
A: 	ja 
B: 	of dat niet 
A: 	ja ja ja 
B: 	ja 
B: 	en zijn het dan de middel 
A: 	nee de linker daarvan dus het verst richting het midden dus hij hij zijn hij zijn één stap van het midden naar 
B: 	ja 
B: 	ja 
B: 	ja bij mij zijn het zijn het één één zijn het de middel daar van die drie ja het zijn wel risicovol maar ik denken niet dat ze dan hetzelfde zijn 
A: 	nee zijn niet hetzelfde 
A: 	nee zijn denken ik niet hetzelfde 
A: 	dus we zijn erachter dat elk keer als het wat zijn zijn het hetzelfde 
B: 	dit zijn die met die die drie ding zo uit uit de oor met die plat neus K 
A: 	ja 
A: 	K negen 
B: 	en die staan bij mij bovenin midden 
B: 	dus er kunnen niks veel boven 
A: 	nee niet hetzelfde 
B: 	nee 
A: 	jou oorbel 
A: 	drie van die ding aan elk kant 
B: 	drie van die ding 
A: 	yes 
A: 	elf 
B: 	L 
B: 	L elf 
A: 	je hebben die twee recht boven elkaar staan toch ? de vorig keer die waar we het de vorig keer over hebben daarvan staan die links in het midden tussen die twee 
B: 	wachten even kijken 
A: 	als je een driehoek maken van die twee die boven elkaar staan kunnen je een driehoek maken met één die daar links van staat 
B: 	je hebben 
B: 	ja 
B: 	ja ja 
A: 	en dan zijn het de linker 
B: 	ja nee dat zijn bij mij die spiraal 
A: 	oké 
A: 	ja dat zijn niet hetzelfde 
B: 	niet 
