Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	5	dan hebben we het zeker	7	B	10, 16
2	4	dat zijn voor mij	13	B	13, 25
3	3	dan hebben we	31	B	10, 16, 40
2	3	het bak erop	14	B	19, 32
3	2	dat zijn	13	B	13, 18, 25
2	2	de lijn	16	B	7, 22
2	2	dit zijn	14	B	19, 32
2	2	en hij	28	B	7, 34
2	2	hij staan	14	B	21, 34
2	2	over dezelfde	7	B	10, 16
2	2	staan ja	32	B	3, 34
2	2	zeker weten	13	B	16, 28
13	1	ja	49	B	1, 3, 12, 15, 16, 27, 28, 30, 34, 36, 46, 48, 49
7	1	de	29	B	6, 7, 13, 19, 22, 32, 34
7	1	het	32	B	1, 7, 10, 16, 19, 22, 32
6	1	en	29	B	6, 7, 8, 19, 22, 34
5	1	niet	40	B	10, 17, 30, 40, 49
4	1	dan	31	B	10, 16, 22, 40
4	1	dat	22	B	13, 18, 25, 34
4	1	hebben	41	B	0, 10, 16, 40
4	1	met	36	B	1, 19, 32, 36
4	1	we	35	B	6, 10, 16, 40
3	1	bak	30	B	3, 19, 32
3	1	die	31	B	6, 32, 36
3	1	een	4	B	0, 1, 3
3	1	ik	34	B	1, 16, 34
2	1	aan	17	B	6, 22
2	1	als	2	B	7, 8
2	1	boven	5	B	30, 34
2	1	doorheen	19	B	1, 19
2	1	oké	4	B	38, 41
2	1	ook	14	B	3, 16
2	1	plaat	19	B	1, 19
2	1	veel	5	B	30, 34
2	1	weer	32	B	1, 32

