Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	5	ja dit zijn met die	29	14	1	B	16, 29
3	1	4	dit zijn met die	29	14	2	B	16, 25, 29
5	5	3	ja dat zijn	20	19	1	B	12, 20, 22, 26, 30
4	4	3	aan de onderkant	11	26	1	B	0, 11, 21, 25
2	2	3	het midden en	31	5	1	B	27, 31
2	2	3	ja hij zitten	27	15	1	A	13, 27
2	2	3	nog een plaat	13	11	1	B	3, 13
2	2	3	ok deze hebben	11	12	1	B	0, 11
2	2	3	van het midden	31	5	1	B	27, 31
2	2	3	zitten zeggen maar	13	14	1	B	0, 13
8	3	2	dat zijn	12	29	2	A	2, 10, 12, 17, 20, 22, 26, 30
7	3	2	aan de	4	26	1	B	0, 4, 11, 13, 21, 23, 25
5	1	2	de onderkant	19	26	1	B	0, 11, 19, 21, 25
5	3	2	hij zitten	13	29	1	B	3, 13, 19, 27, 31
5	4	2	zeggen maar	7	30	1	B	0, 7, 13, 21, 29
4	1	2	dit zijn	21	14	1	B	16, 21, 25, 29
4	2	2	van het	27	19	2	A	13, 23, 27, 31
3	3	2	het midden	27	19	1	A	13, 27, 31
2	2	2	een driehoek	11	12	1	B	0, 11
2	2	2	link van	27	15	1	A	13, 27
2	2	2	nee dat	14	5	1	A	10, 14
2	2	2	ook iets	31	5	1	B	27, 31
2	2	2	twee vierkant	11	12	1	B	0, 11
14	6	1	ja	13	26	4	B	5, 6, 8, 12, 13, 16, 18, 20, 22, 26, 27, 28, 29, 30
13	4	1	dat	2	31	1	B	0, 2, 10, 11, 12, 14, 16, 17, 20, 21, 22, 26, 30
13	1	1	zijn	28	29	2	A	2, 10, 12, 16, 17, 20, 21, 22, 25, 26, 28, 29, 30
10	4	1	de	4	30	2	B	0, 3, 4, 11, 13, 19, 21, 23, 25, 29
9	3	1	aan	9	26	1	B	0, 4, 9, 11, 13, 19, 21, 23, 25
8	3	1	zitten	11	33	2	B	0, 3, 11, 13, 19, 27, 31, 32
7	3	1	maar	7	30	2	B	0, 3, 7, 8, 13, 21, 29
7	5	1	ok	1	25	1	B	0, 1, 10, 11, 15, 17, 24
6	4	1	driehoek	16	30	1	B	0, 11, 16, 21, 25, 29
6	4	1	en	9	32	2	B	0, 3, 9, 11, 27, 31
6	6	1	er	4	17	1	B	3, 4, 7, 9, 13, 19
6	2	1	het	13	27	2	B	5, 8, 13, 23, 27, 31
6	1	1	zeggen	4	30	1	B	0, 4, 7, 13, 21, 29
5	1	1	een	4	14	2	B	0, 3, 4, 11, 13
5	3	1	nog	4	17	1	B	3, 4, 9, 13, 19
5	3	1	plaat	4	21	1	B	3, 4, 13, 19, 23
4	1	1	die	17	14	1	B	16, 17, 25, 29
4	2	1	met	21	14	1	B	16, 21, 25, 29
4	2	1	nee	10	25	1	B	8, 10, 14, 32
4	4	1	niet	4	12	1	B	3, 4, 10, 14
4	4	1	zullen	4	6	1	B	3, 4, 5, 8
3	3	1	boven	23	29	1	B	3, 23, 31
3	1	1	deze	32	33	1	B	0, 11, 32
3	1	1	hebben	9	12	1	B	0, 9, 11
3	3	1	kunnen	13	21	1	B	3, 13, 23
3	1	1	link	32	20	1	A	13, 27, 32
3	3	1	naast	23	21	2	B	3, 19, 23
3	3	1	net	31	27	2	B	5, 8, 31
3	3	1	op	16	13	1	A	13, 16, 25
3	1	1	twee	19	20	1	B	0, 11, 19
3	3	1	wel	27	11	2	A	17, 20, 27
2	2	1	dan	11	12	1	B	0, 11
2	2	1	eigenlijk	23	21	1	B	3, 23
2	2	1	helemaal	23	5	1	B	19, 23
2	2	1	iets	31	5	1	B	27, 31
2	2	1	ik	27	24	1	A	4, 27
2	2	1	rechts	31	29	1	B	3, 31

