Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	5	ja volgens mij wel ja	11	B	7, 17
2	4	bij mij zijn het	34	B	5, 38
2	4	ok bij mij N	23	B	43, 65
2	3	dan zijn het	40	B	35, 74
2	3	een beetje op	15	B	38, 52
2	3	het een beetje	38	B	1, 38
2	3	ja ja ja	23	B	3, 25
2	3	zeggen maar op	66	B	1, 66
2	3	één vier deel	16	B	52, 67
7	2	bij mij	75	B	5, 25, 32, 38, 43, 65, 79
7	2	een beetje	52	B	1, 11, 23, 38, 45, 51, 52
5	2	zeggen maar	67	B	0, 1, 5, 51, 66
4	2	hij staan	43	B	9, 11, 45, 51
3	2	denken ik	16	B	52, 56, 67
3	2	dit zijn	64	B	0, 38, 63
2	2	denken aan	23	B	1, 23
2	2	het midden	41	B	11, 51
2	2	ik dat	52	B	5, 56
2	2	ik ook	39	B	14, 52
2	2	ja dat	12	B	14, 25
2	2	nee dan	6	B	56, 61
2	2	net niet	22	B	35, 56
2	2	o die	27	B	23, 49
2	2	o ok	16	B	59, 74
2	2	okan ja	52	B	5, 56
2	2	op één	15	B	52, 66
2	2	vier deel	16	B	52, 67
2	2	zijn bij	14	B	25, 38
15	1	ja	70	B	1, 3, 5, 7, 11, 14, 17, 20, 25, 31, 41, 54, 56, 58, 70
11	1	mij	79	B	1, 5, 7, 17, 23, 25, 32, 38, 43, 65, 79
10	1	zijn	77	B	0, 5, 25, 35, 38, 45, 54, 63, 74, 76
9	1	o	57	B	23, 30, 32, 34, 49, 59, 74, 76, 79
9	1	ok	75	B	0, 11, 16, 27, 43, 47, 59, 65, 74
8	1	een	71	B	1, 11, 23, 38, 45, 51, 52, 71
8	1	en	67	B	1, 11, 38, 45, 51, 56, 63, 67
8	1	het	74	B	1, 5, 11, 35, 38, 51, 54, 74
7	1	beetje	52	B	1, 11, 23, 38, 45, 51, 52
7	1	niet	70	B	5, 35, 51, 54, 56, 71, 74
6	1	dan	64	B	11, 23, 35, 56, 61, 74
6	1	dat	72	B	0, 5, 14, 25, 56, 71
6	1	denken	67	B	1, 23, 52, 54, 56, 67
6	1	hij	58	B	9, 11, 45, 51, 56, 66
6	1	ik	63	B	5, 9, 14, 52, 56, 67
6	1	maar	67	B	0, 1, 5, 51, 54, 66
6	1	nee	43	B	37, 56, 61, 71, 74, 79
6	1	zeggen	71	B	0, 1, 5, 51, 66, 70
6	1	één	79	B	1, 45, 52, 66, 67, 79
5	1	op	66	B	1, 38, 52, 56, 66
5	1	staan	48	B	9, 11, 45, 51, 56
5	1	wel	65	B	7, 17, 54, 56, 71
4	1	er	26	B	54, 56, 71, 79
4	1	nog	75	B	5, 54, 71, 79
4	1	pinoccio	63	B	1, 23, 38, 63
3	1	die	54	B	23, 49, 76
3	1	ook	54	B	14, 52, 67
3	1	rechts	29	B	51, 56, 79
3	1	van	17	B	51, 52, 67
3	1	zitten	14	B	66, 71, 79
2	1	C	28	B	49, 76
2	1	boven	28	B	52, 79
2	1	cocktail	26	B	38, 63
2	1	doen	23	B	1, 23
2	1	hebben	43	B	14, 56
2	1	in	35	B	11, 45
2	1	links	12	B	56, 67
2	1	met	38	B	1, 38
2	1	moeten	5	B	5, 9
2	1	naar	51	B	1, 51
2	1	naast	16	B	56, 71
2	1	tenminste	48	B	9, 56
2	1	tussen	44	B	11, 54
2	1	twee	46	B	11, 56
2	1	waar	68	B	9, 76

