Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	4	in het midden hebben	81	75	1	A	7, 81
2	2	4	staart aan de achterkant	5	2	1	B	4, 5
5	5	3	dit zijn die	15	90	1	A	0, 15, 48, 68, 89
5	5	3	ja dat zijn	57	43	1	A	22, 57, 58, 59, 64
3	3	3	en dan die	39	22	1	B	19, 39, 40
3	3	3	en die zitten	44	53	1	B	23, 44, 75
3	1	3	het midden hebben	81	75	2	A	7, 10, 81
3	1	3	in het midden	81	75	2	A	7, 52, 81
3	3	3	op dezelfde plek	59	52	1	A	34, 59, 85
2	2	3	dan niet helemaal	79	54	1	B	26, 79
2	2	3	die plat driehoek	40	24	1	A	17, 40
2	2	3	ik denken het	101	16	1	A	86, 101
2	2	3	ik hebben hem	56	2	1	B	55, 56
2	2	3	ja ik denken	101	3	1	A	99, 101
2	2	3	net iets rechts	81	6	1	A	76, 81
2	2	3	plat driehoek bovenop	17	3	1	B	15, 17
11	8	2	en dan	4	82	2	A	0, 1, 4, 7, 12, 19, 39, 40, 51, 79, 81
8	3	2	dat zijn	22	66	1	B	9, 22, 43, 57, 58, 59, 64, 74
8	5	2	plat driehoek	41	75	1	B	15, 17, 40, 41, 48, 71, 72, 89
8	8	2	zeggen maar	50	69	5	A	0, 2, 10, 12, 37, 50, 63, 68
7	5	2	aan de	6	66	1	B	4, 5, 6, 23, 36, 51, 69
6	6	2	die twee	36	75	2	B	15, 19, 36, 48, 68, 89
6	1	2	dit zijn	36	90	1	A	0, 15, 36, 48, 68, 89
6	3	2	en die	50	69	1	B	23, 44, 50, 69, 75, 91
6	1	2	ja dat	57	63	2	A	2, 22, 57, 58, 59, 64
5	3	2	het midden	81	77	3	A	7, 10, 52, 81, 83
5	3	2	ik denken	97	25	2	A	77, 86, 97, 99, 101
5	5	2	ja precies	65	73	1	A	27, 65, 81, 96, 99
5	4	2	net iets	81	25	1	A	76, 81, 93, 94, 100
4	2	2	die zitten	23	66	1	A	10, 23, 44, 75
4	2	2	ik hebben	55	53	1	A	29, 55, 56, 81
4	4	2	in de	23	17	1	A	10, 23, 25, 26
4	4	2	zo'n stuk	64	20	1	B	63, 64, 79, 82
3	3	2	bij mij	46	38	1	A	10, 46, 47
3	3	2	er zitten	63	52	2	A	12, 27, 63
3	1	2	ja ik	101	46	2	A	56, 99, 101
3	3	2	van de	64	25	1	B	55, 64, 79
2	2	2	denken ik	87	54	1	A	34, 87
2	2	2	ja en	20	17	1	B	4, 20
2	2	2	nog zo'n	63	57	1	A	7, 63
52	38	1	ja	5	100	1	A	2, 4, 5, 7, 8, 10, 11, 14, 18, 20, 21, 22, 24, 27, 28, 30, 33, 34, 35, 36, 38, 41, 42, 46, 53, 54, 56, 57, 58, 59, 62, 63, 64, 65, 66, 67, 68, 70, 72, 73, 78, 80, 81, 83, 84, 85, 88, 93, 95, 96, 99, 101
23	10	1	die	15	92	2	A	0, 10, 15, 17, 19, 20, 23, 26, 34, 36, 39, 40, 44, 48, 50, 68, 69, 75, 77, 82, 85, 89, 91
22	4	1	en	3	92	2	A	0, 1, 3, 4, 7, 12, 15, 19, 20, 23, 39, 40, 44, 48, 50, 51, 69, 75, 79, 81, 89, 91
19	8	1	dan	4	86	3	A	0, 1, 2, 4, 7, 12, 16, 19, 26, 29, 34, 39, 40, 51, 61, 75, 79, 81, 85
17	3	1	zijn	34	101	1	A	0, 9, 15, 22, 34, 36, 43, 48, 57, 58, 59, 64, 68, 74, 89, 99, 100
16	3	1	de	16	86	1	B	4, 5, 6, 10, 16, 23, 25, 26, 36, 48, 51, 55, 64, 69, 79, 89
15	6	1	dat	15	98	1	A	2, 9, 15, 22, 29, 31, 34, 43, 57, 58, 59, 64, 74, 77, 99
14	4	1	ik	31	73	1	A	29, 31, 34, 45, 55, 56, 77, 81, 86, 87, 97, 99, 100, 101
13	7	1	het	15	95	2	A	7, 10, 15, 44, 48, 52, 55, 81, 83, 86, 99, 100, 101
13	6	1	zitten	23	86	4	A	0, 7, 10, 12, 23, 27, 44, 63, 75, 77, 81, 82, 85
12	4	1	maar	16	80	4	A	0, 2, 10, 12, 16, 26, 37, 44, 50, 63, 68, 79
9	1	1	driehoek	17	75	2	B	15, 16, 17, 40, 41, 48, 71, 72, 89
9	3	1	hebben	31	82	5	A	0, 1, 7, 10, 29, 31, 55, 56, 81
9	1	1	plat	15	88	1	A	2, 15, 17, 40, 41, 48, 71, 72, 89
8	1	1	denken	87	68	4	A	34, 56, 77, 86, 87, 97, 99, 101
8	8	1	ook	31	95	1	A	7, 31, 46, 47, 51, 82, 97, 101
8	3	1	twee	15	90	1	A	0, 15, 19, 22, 36, 48, 68, 89
7	2	1	net	81	89	2	A	12, 76, 81, 91, 93, 94, 100
7	5	1	van	51	95	1	A	0, 51, 55, 64, 79, 81, 94
7	7	1	wel	34	74	1	B	26, 34, 55, 56, 82, 86, 99
6	6	1	boven	63	69	4	A	0, 1, 12, 37, 63, 68
6	6	1	ongeveer	58	47	1	B	53, 58, 77, 97, 98, 99
6	3	1	plek	34	73	2	B	13, 26, 34, 35, 59, 85
6	2	1	precies	81	74	1	A	27, 65, 81, 96, 99, 100
6	4	1	staart	5	46	2	B	3, 4, 5, 7, 15, 48
6	2	1	zo'n	63	78	2	A	5, 7, 63, 64, 79, 82
5	3	1	helemaal	79	57	4	B	23, 26, 61, 63, 79
5	5	1	staan	50	63	1	A	29, 50, 55, 81, 91
5	5	1	zo	55	48	1	A	37, 55, 77, 79, 84
4	1	1	bij	77	68	1	A	10, 46, 47, 77
4	4	1	dus	77	66	2	B	16, 35, 77, 81
4	1	1	er	94	83	2	A	12, 27, 63, 94
4	4	1	met	17	53	1	B	16, 17, 36, 68
4	1	1	mij	46	38	2	A	10, 44, 46, 47
4	4	1	oké	33	78	1	B	13, 33, 60, 90
4	1	1	op	34	60	1	B	26, 34, 59, 85
4	4	1	veel	26	33	1	A	12, 26, 27, 44
3	3	1	als	26	35	1	A	10, 26, 44
3	3	1	hetzelfde	58	43	1	B	57, 58, 99
3	3	1	link	94	85	2	A	10, 93, 94
3	3	1	linksonder	45	67	1	B	25, 45, 91
3	1	1	niet	100	75	1	B	26, 79, 100
3	1	1	nog	63	57	2	A	7, 29, 63
3	3	1	ver	55	44	2	A	12, 27, 55
3	3	1	weer	51	47	1	A	36, 51, 82
2	2	1	ding	19	13	1	A	7, 19
2	2	1	kruis	92	2	1	B	91, 92
2	2	1	links	50	6	1	A	45, 50
2	2	1	onder	100	94	1	A	7, 100
2	2	1	toevallig	33	2	1	B	32, 33

