Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	3	en hij staan	12	B	19, 30
3	2	antenne en	26	B	3, 17, 28
3	2	en hij	25	B	6, 19, 30
3	2	het midden	25	B	19, 30, 43
2	2	aan de	3	B	1, 3
2	2	als je	5	B	35, 39
2	2	bij mij	6	B	33, 38
2	2	dat zijn	20	B	14, 33
2	2	de Q	5	B	35, 39
2	2	de verrekijker	5	B	35, 39
2	2	die twee	12	B	17, 28
2	2	dit zijn	18	B	0, 17
2	2	een lijn	5	B	35, 39
2	2	een tikkel	6	B	30, 35
2	2	ja dat	29	B	14, 42
2	2	plat vierkant	15	B	3, 17
2	2	zullen trekken	5	B	35, 39
10	1	ja	46	B	3, 7, 9, 12, 14, 16, 27, 41, 42, 48
9	1	en	43	B	3, 6, 7, 17, 19, 28, 30, 39, 45
6	1	een	46	B	0, 3, 30, 35, 39, 45
6	1	het	27	B	17, 19, 20, 30, 38, 43
6	1	zijn	49	B	0, 14, 17, 20, 33, 48
5	1	dat	29	B	14, 28, 33, 35, 42
5	1	de	39	B	1, 3, 17, 35, 39
4	1	je	29	B	20, 35, 39, 48
4	1	met	32	B	17, 28, 35, 48
4	1	staan	38	B	1, 19, 30, 38
4	1	twee	28	B	1, 7, 17, 28
3	1	die	28	B	1, 17, 28
3	1	figuur	46	B	0, 7, 45
3	1	ik	21	B	28, 42, 48
3	1	verrekijker	12	B	28, 35, 39
3	1	vierkant	26	B	3, 17, 28
3	1	wel	43	B	0, 30, 42
3	1	één	25	B	19, 22, 43
2	1	daar	14	B	7, 20
2	1	eens	29	B	20, 48
2	1	helemaal	25	B	6, 30
2	1	maar	14	B	17, 30
2	1	naar	6	B	30, 35
2	1	net	10	B	30, 39
2	1	niet	20	B	20, 39
2	1	raken	5	B	35, 39
2	1	rechts	14	B	30, 43
2	1	vanuit	5	B	39, 43

