ID	S1	S2	S1/Initiated Expression (IE_S1)	S1/Expression Repetition (ER_S1)	S1/tokens (%)	S2/Initiated Expression (IE_S2)	S2/Expression Repetition (ER_S2)	S2/tokens (%)	Voc. Overlap S1	Voc. Overlap S2	SR/S1/ELS	SR/S1/EV	SR/S1/ER	SR/S1/ENTR	SR/S1/L	SR/S1/LMAX	SR/S2/ELS	SR/S2/EV	SR/S2/ER	SR/S2/ENTR	SR/S2/L	SR/S2/LMAX
pair09_07_tsv	A	B	0.32	0.504424778761062	0.5136363636363637	0.68	0.35514018691588783	0.4863636363636364	0.3829787234042553	0.35294117647058826	23.0	0.17557251908396945	0.6412213740458015	1.4293568836804298	1.5740740740740742	4.0	22.0	0.1774193548387097	0.6209677419354839	1.0848063548455138	1.7272727272727273	11.0
037038_4_tsv	A	B	0.6666666666666666	0.4	0.5333333333333333	0.3333333333333333	0.4666666666666667	0.4666666666666667	0.5555555555555556	0.625	25.0	0.18382352941176472	0.6029411764705882	1.1753709053030195	1.4727272727272727	5.0	21.0	0.16535433070866143	0.5433070866141733	0.9768372377388188	1.2941176470588236	3.0
143144_11_tsv	A	B	0.42990654205607476	0.565597667638484	0.4152542372881356	0.5700934579439252	0.5010351966873706	0.5847457627118644	0.6422018348623854	0.4794520547945205	76.0	0.19487179487179487	0.7410256410256411	1.5531129552490621	1.655367231638418	7.0	104.0	0.19330855018587362	0.7527881040892194	1.5157907848791325	1.6468253968253967	5.0
pair14_11_tsv	A	B	0.5806451612903226	0.46078431372549017	0.5204081632653061	0.41935483870967744	0.4787234042553192	0.47959183673469385	0.6153846153846154	0.5217391304347826	23.0	0.19008264462809918	0.6528925619834711	1.5371281823042326	1.9069767441860466	3.0	15.0	0.14285714285714285	0.5523809523809524	1.384431504340598	1.5833333333333333	3.0
109110_12_tsv	A	B	0.5735294117647058	0.42704626334519574	0.5903361344537815	0.4264705882352941	0.5846153846153846	0.4096638655462185	0.5	0.6547619047619048	65.0	0.21172638436482086	0.6938110749185668	1.1630349929278092	1.4054054054054055	5.0	42.0	0.1794871794871795	0.6153846153846154	1.3326686021329675	1.5217391304347827	6.0
021022_16_tsv	A	B	0.6705882352941176	0.4526627218934911	0.5098039215686274	0.32941176470588235	0.5784615384615385	0.49019607843137253	0.5673076923076923	0.5315315315315315	80.0	0.21978021978021978	0.7802197802197802	1.8097086611514697	1.8414634146341464	6.0	73.0	0.20110192837465565	0.743801652892562	1.7430424046198194	1.8356164383561644	7.0
081082_13_tsv	A	B	0.5	0.46218487394957986	0.4375	0.5	0.47058823529411764	0.5625	0.6842105263157895	0.5652173913043478	32.0	0.2222222222222222	0.5902777777777778	1.1708574968463454	1.3934426229508197	4.0	37.0	0.21511627906976744	0.6802325581395349	1.559224260670125	1.75	5.0
137138_5_tsv	A	B	0.265625	0.53	0.4784688995215311	0.734375	0.3394495412844037	0.5215311004784688	0.5647058823529412	0.5333333333333333	38.0	0.16593886462882096	0.6419213973799127	1.3465884783743667	1.5	4.0	42.0	0.1693548387096774	0.6653225806451613	1.302544664828607	1.4672897196261683	4.0
099100_14_tsv	A	B	0.5888888888888889	0.5209125475285171	0.515686274509804	0.4111111111111111	0.5991902834008097	0.4843137254901961	0.6464646464646465	0.6956521739130435	67.0	0.21543408360128619	0.6881028938906752	1.4260758201373078	1.542857142857143	5.0	61.0	0.20819112627986347	0.689419795221843	1.4831234017425217	1.618320610687023	7.0
pair20_06_tsv	A	B	0.40540540540540543	0.3652694610778443	0.6788617886178862	0.5945945945945946	0.379746835443038	0.32113821138211385	0.32432432432432434	0.6666666666666666	34.0	0.18888888888888888	0.6611111111111111	1.5443892949277553	1.6376811594202898	5.0	18.0	0.1875	0.5833333333333334	0.9182958340544896	1.3333333333333333	2.0
