Freq.	Size	Surface Form	Spanning	First Speaker	Turns
3	5	ja dat zijn voor mij	33	B	25, 41, 57
2	4	dit zijn met het	19	B	31, 49
2	3	van de groot	15	B	45, 59
2	3	vlak door de	33	B	0, 32
4	2	en dan	49	B	3, 13, 35, 51
2	2	als je	2	B	12, 13
2	2	die twee	18	B	32, 49
2	2	een haak	47	B	3, 49
2	2	en een	47	B	3, 49
2	2	in het	23	B	13, 35
2	2	liggen hij	11	B	35, 45
2	2	zitten hij	3	B	13, 15
12	1	ja	53	B	9, 11, 19, 20, 25, 28, 41, 47, 53, 57, 59, 61
9	1	en	63	B	0, 3, 13, 24, 32, 35, 49, 51, 62
6	1	het	50	B	0, 13, 31, 35, 47, 49
6	1	zijn	33	B	25, 31, 32, 41, 49, 57
5	1	dan	49	B	3, 13, 30, 35, 51
5	1	de	60	B	0, 3, 32, 45, 59
5	1	hij	39	B	13, 15, 35, 45, 51
4	1	dat	45	B	13, 25, 41, 57
4	1	een	50	B	0, 3, 12, 49
4	1	haak	47	B	3, 24, 32, 49
4	1	mij	33	B	25, 28, 41, 57
4	1	vlak	57	B	0, 32, 35, 56
3	1	bovenop	47	B	3, 32, 49
3	1	die	26	B	24, 32, 49
3	1	door	50	B	0, 32, 49
3	1	liggen	17	B	35, 45, 51
3	1	met	19	B	31, 32, 49
3	1	ok	65	B	0, 37, 64
3	1	twee	47	B	3, 32, 49
3	1	van	57	B	3, 45, 59
3	1	zitten	13	B	3, 13, 15
2	1	Linksboven	21	B	15, 35
2	1	heen	18	B	32, 49
2	1	in	23	B	13, 35
2	1	kop	18	B	32, 49
2	1	slurf	18	B	32, 49
2	1	verticaal	15	B	45, 59
2	1	weer	24	B	12, 35

