ID	Num. utterances	Num. tokens	Expression Lexicon Size (ELS)	Expression Variety (EV)	Expression Repetition (ER)	Voc. Overlap	ENTR	L	LMAX
pair09_07_tsv	35.0	220.0	25.0	0.11363636363636363	0.4318181818181818	0.225	0.9722567977047748	1.2912621359223302	3.0
037038_4_tsv	38.0	225.0	39.0	0.17333333333333334	0.4311111111111111	0.4166666666666667	1.1241186764155695	1.3873873873873874	4.0
143144_11_tsv	102.0	826.0	107.0	0.12953995157384987	0.5278450363196125	0.3783783783783784	1.4035566710497522	1.5282555282555284	6.0
pair14_11_tsv	30.0	196.0	31.0	0.15816326530612246	0.46938775510204084	0.39344262295081966	1.2670016870144043	1.4787234042553192	3.0
109110_12_tsv	65.0	476.0	68.0	0.14285714285714285	0.49159663865546216	0.39568345323741005	0.905134317246002	1.2650602409638554	3.0
021022_16_tsv	64.0	663.0	85.0	0.1282051282051282	0.5143288084464555	0.3782051282051282	1.3056502095605746	1.4725609756097562	6.0
081082_13_tsv	44.0	272.0	54.0	0.19852941176470587	0.46691176470588236	0.4482758620689655	1.5171306202060424	1.671875	5.0
137138_5_tsv	59.0	418.0	64.0	0.15311004784688995	0.430622009569378	0.3779527559055118	1.173150115948928	1.39	4.0
099100_14_tsv	94.0	510.0	90.0	0.17647058823529413	0.5588235294117647	0.5039370078740157	1.53451752480112	1.6119402985074627	6.0
pair20_06_tsv	30.0	246.0	37.0	0.15040650406504066	0.3699186991869919	0.27906976744186046	1.2300362592775405	1.4455445544554455	3.0
pair16_06_tsv	50.0	263.0	36.0	0.13688212927756654	0.41825095057034223	0.3263157894736842	0.688127716809808	1.1690140845070423	3.0
009010_10_tsv	67.0	422.0	56.0	0.13270142180094788	0.5118483412322274	0.42857142857142855	0.9782203668594924	1.3008474576271187	3.0
121122_2_tsv	55.0	309.0	59.0	0.19093851132686085	0.511326860841424	0.43137254901960786	1.1986269553515339	1.4037267080745341	4.0
041042_16_tsv	89.0	720.0	90.0	0.125	0.5180555555555556	0.4	1.2479534502386245	1.4343163538873995	5.0
101102_1_tsv	59.0	375.0	63.0	0.168	0.4533333333333333	0.4576271186440678	1.2564930987032892	1.4393939393939394	6.0
pair05_07_tsv	36.0	200.0	38.0	0.19	0.385	0.3950617283950617	1.127701135992273	1.3775510204081634	3.0
pair08_15_tsv	43.0	250.0	20.0	0.08	0.312	0.17525773195876287	0.6531791627726858	1.1555555555555554	3.0
065066_3_tsv	49.0	243.0	38.0	0.15637860082304528	0.448559670781893	0.3488372093023256	0.9828776216548267	1.2905982905982907	4.0
pair20_02_tsv	20.0	112.0	16.0	0.14285714285714285	0.49107142857142855	0.375	1.0676898236494567	1.3571428571428572	3.0
009010_14_tsv	75.0	482.0	69.0	0.14315352697095435	0.5352697095435685	0.41044776119402987	1.0075940001593788	1.302919708029197	4.0
119120_12_tsv	93.0	454.0	70.0	0.15418502202643172	0.44933920704845814	0.3795620437956204	0.9581779648445647	1.2832618025751072	3.0
025026_8_tsv	49.0	431.0	65.0	0.15081206496519722	0.42691415313225056	0.42105263157894735	1.2232925202883027	1.416289592760181	4.0
101102_5_tsv	87.0	558.0	99.0	0.1774193548387097	0.4767025089605735	0.4594594594594595	1.290720158739817	1.481848184818482	8.0
049050_6_tsv	111.0	734.0	118.0	0.16076294277929154	0.5953678474114441	0.4788732394366197	1.5174858098360307	1.6416040100250626	13.0
pair07_02_tsv	16.0	69.0	9.0	0.13043478260869565	0.3188405797101449	0.19047619047619047	1.0350402793845221	1.36	3.0
075076_14_tsv	91.0	634.0	88.0	0.138801261829653	0.5362776025236593	0.42857142857142855	1.29570312846144	1.4558823529411764	5.0
107108_1_tsv	83.0	670.0	104.0	0.15522388059701492	0.5343283582089552	0.4342105263157895	1.1606748665045032	1.37984496124031	5.0
