Freq.	Size	Surface Form	Spanning	First Speaker	Turns
3	4	dat zijn dan nummer	25	A	20, 33, 44
2	3	ja dit zijn	38	A	1, 38
2	3	nee bij mij	14	A	22, 35
2	3	rij en dan	7	A	29, 35
7	2	en dan	41	A	1, 8, 18, 26, 29, 35, 41
4	2	ja ja	34	A	13, 26, 30, 46
3	2	dit zijn	38	A	1, 23, 38
2	2	er bovenop	22	A	2, 23
2	2	hebben je	19	A	8, 26
2	2	helemaal onderin	28	A	8, 35
2	2	het midden	6	A	8, 13
2	2	in de	7	A	35, 41
2	2	ja dat	22	A	23, 44
2	2	ja en	8	A	18, 25
2	2	met een	22	A	2, 23
2	2	staan hij	28	A	8, 35
16	1	ja	46	A	1, 5, 6, 7, 13, 17, 18, 23, 25, 26, 29, 30, 32, 38, 44, 46
12	1	dan	46	A	1, 8, 18, 20, 26, 29, 33, 35, 37, 41, 44, 46
9	1	en	41	A	1, 2, 8, 18, 25, 26, 29, 35, 41
7	1	zijn	44	A	1, 16, 20, 23, 33, 38, 44
6	1	die	24	A	18, 23, 25, 26, 38, 41
5	1	dat	44	A	1, 20, 23, 33, 44
5	1	de	39	A	8, 23, 35, 41, 46
5	1	een	26	A	1, 2, 8, 23, 26
4	1	drie	37	A	8, 29, 35, 44
4	1	er	26	A	1, 2, 23, 26
4	1	in	34	A	8, 26, 35, 41
3	1	bovenop	37	A	2, 23, 38
3	1	hebben	34	A	8, 26, 41
3	1	helemaal	28	A	8, 16, 35
3	1	korfbal	38	A	1, 23, 38
3	1	met	23	A	1, 2, 23
3	1	nee	16	A	22, 35, 37
3	1	rij	10	A	26, 29, 35
2	1	aan	6	A	18, 23
2	1	als	34	A	8, 41
2	1	bal	37	A	2, 38
2	1	dus	2	A	37, 38
2	1	eigenlijk	38	A	1, 38
2	1	iets	13	A	1, 13
2	1	je	19	A	8, 26
2	1	net	26	A	1, 26
2	1	nog	6	A	18, 23
2	1	ok	19	A	8, 26
2	1	veel	46	A	1, 46
2	1	waar	16	A	23, 38
2	1	wat	4	A	23, 26
2	1	weer	19	A	8, 26
2	1	zeggen	4	A	23, 26
2	1	zelfde	6	A	41, 46
2	1	zijkant	6	A	18, 23

