Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	en aan de linkerkant	23	A	16, 38
2	3	aan de rechterkant	72	A	16, 87
2	3	de rechterkant van	12	A	76, 87
2	3	de verticaal lijn	26	A	62, 87
2	3	een soort van	8	A	22, 29
2	3	en aan de	23	A	16, 38
2	3	in het vlak	51	A	34, 84
2	3	soort van rond	11	A	14, 24
4	2	aan de	72	A	16, 38, 76, 87
4	2	en dan	80	A	6, 62, 76, 85
4	2	en die	59	A	26, 29, 61, 84
3	2	als je	15	A	19, 26, 33
3	2	dat zijn	53	A	3, 9, 55
3	2	een beetje	62	A	24, 26, 85
3	2	in het	51	A	34, 61, 84
3	2	zijn dat	13	A	45, 49, 57
2	2	dit zijn	22	A	57, 78
2	2	eigenlijk een	6	A	24, 29
2	2	en link	10	A	58, 67
2	2	en op	55	A	24, 78
2	2	en één	13	A	14, 26
2	2	het scherm	36	A	41, 76
2	2	hij staan	55	A	33, 87
2	2	met twee	5	A	10, 14
2	2	middellijn en	25	A	38, 62
2	2	mok met	34	A	45, 78
2	2	op links	57	A	22, 78
2	2	op rechts	57	A	24, 80
2	2	richting de	39	A	38, 76
2	2	twee verschillend	10	A	10, 19
19	1	en	82	A	6, 14, 16, 24, 26, 29, 33, 36, 38, 58, 61, 62, 67, 74, 76, 78, 84, 85, 87
14	1	ja	81	A	2, 9, 11, 18, 22, 32, 38, 47, 54, 70, 73, 74, 75, 82
10	1	zijn	76	A	3, 9, 22, 26, 29, 45, 49, 55, 57, 78
9	1	die	62	A	26, 29, 33, 45, 47, 61, 78, 84, 87
8	1	dat	55	A	3, 6, 9, 11, 45, 49, 55, 57
8	1	de	82	A	6, 10, 16, 38, 62, 76, 78, 87
8	1	een	70	A	16, 22, 24, 26, 29, 58, 78, 85
6	1	het	63	A	22, 34, 41, 61, 76, 84
5	1	aan	72	A	16, 38, 62, 76, 87
5	1	op	59	A	22, 24, 26, 78, 80
4	1	eigenlijk	19	A	11, 24, 26, 29
4	1	in	61	A	24, 34, 61, 84
4	1	je	15	A	19, 24, 26, 33
4	1	richting	48	A	38, 41, 76, 85
4	1	rond	45	A	14, 16, 24, 58
4	1	staafdiagram	50	A	29, 45, 57, 78
4	1	twee	17	A	10, 14, 19, 26
4	1	één	46	A	12, 14, 26, 57
3	1	hebben	17	A	10, 11, 26
3	1	linksonder	50	A	36, 61, 85
3	1	maar	75	A	11, 26, 85
3	1	nummer	68	A	3, 49, 70
3	1	oké	36	A	48, 60, 83
3	1	rechts	61	A	24, 80, 84
3	1	staan	55	A	33, 84, 87
3	1	veel	72	A	14, 58, 85
3	1	vlak	52	A	33, 34, 84
3	1	zitten	52	A	16, 61, 67
2	1	bovenin	79	A	6, 84
2	1	hetzelfde	48	A	9, 56
2	1	hier	53	A	3, 55
2	1	horizontaal	50	A	38, 87
2	1	ik	2	A	10, 11
2	1	koffielepel	49	A	10, 58
2	1	komen	22	A	57, 78
2	1	letlen	8	A	19, 26
2	1	lijn	26	A	62, 87
2	1	nog	62	A	6, 67
2	1	of	21	A	6, 26
2	1	ook	82	A	6, 87
2	1	recht	4	A	26, 29
2	1	ronder	53	A	26, 78
2	1	uitstekend	46	A	22, 67
2	1	waar	34	A	24, 57
2	1	weer	44	A	33, 76
2	1	zo'n	44	A	24, 67

