Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	5	ik hebben die met die	106	62	1	B	45, 106
2	2	4	bij mij passen er	111	11	1	A	101, 111
7	7	3	en hij zitten	50	96	1	A	8, 50, 51, 55, 65, 99, 103
4	2	3	ik hebben die	45	85	1	A	22, 45, 73, 106
3	3	3	dan zijn het	56	60	1	A	43, 56, 102
3	3	3	en een half	72	37	1	B	42, 72, 78
2	2	3	die zitten eronder	31	3	1	A	29, 31
2	2	3	een half boven	110	11	1	B	100, 110
2	2	3	er zitten er	77	36	1	B	42, 77
2	2	3	ik denken het	79	23	1	A	57, 79
2	2	3	nog wel veel	111	11	1	A	101, 111
13	7	2	hij zitten	9	107	1	A	8, 9, 13, 28, 41, 50, 51, 55, 65, 99, 103, 110, 114
11	7	2	ik hebben	58	100	1	A	22, 45, 58, 73, 77, 84, 88, 93, 106, 120, 121
10	10	2	aan de	45	83	2	A	5, 22, 45, 47, 58, 59, 63, 68, 84, 87
9	7	2	bij mij	15	99	1	B	13, 15, 37, 41, 63, 77, 78, 101, 111
8	1	2	en hij	50	96	2	A	8, 28, 50, 51, 55, 65, 99, 103
8	6	2	ik denken	57	51	1	B	50, 57, 70, 79, 82, 90, 99, 100
7	7	2	dat zijn	36	98	2	A	12, 28, 36, 49, 62, 75, 109
5	5	2	ik niet	71	67	1	A	54, 71, 101, 112, 120
5	3	2	zitten er	42	50	1	A	29, 42, 69, 77, 78
4	2	2	er zitten	77	74	3	B	4, 31, 42, 77
4	4	2	het midden	55	50	2	B	50, 51, 55, 99
4	2	2	met die	45	85	1	A	22, 45, 58, 106
4	4	2	niet helemaal	64	98	2	B	13, 41, 64, 110
4	4	2	oké dat	36	90	1	A	20, 36, 62, 109
4	4	2	ook niet	90	75	2	A	18, 57, 90, 92
4	1	2	zijn het	56	79	2	A	24, 43, 56, 102
3	1	2	denken het	92	36	1	A	57, 79, 92
3	3	2	die die	108	64	2	B	45, 73, 108
3	1	2	die zitten	69	41	1	A	29, 31, 69
3	3	2	en dan	16	17	2	B	0, 14, 16
3	3	2	ja oké	36	53	1	A	10, 36, 62
3	3	2	maar die	75	59	1	A	29, 75, 87
3	3	2	maar niet	119	107	2	B	13, 41, 119
3	3	2	met zo'n	33	80	1	A	5, 33, 84
3	3	2	weten ik	10	66	1	B	6, 10, 71
2	2	2	balle aan	23	2	1	A	22, 23
2	2	2	dan zitten	65	49	1	B	17, 65
2	2	2	die bollet	106	62	1	B	45, 106
2	2	2	die sowieso	90	13	1	A	78, 90
2	2	2	dus dat	75	47	1	A	29, 75
2	2	2	een beetje	77	3	1	B	75, 77
2	2	2	er echt	120	10	1	B	111, 120
2	2	2	hij zijn	125	113	1	B	13, 125
2	2	2	ja dat	115	67	1	A	49, 115
2	2	2	ja die	95	9	1	B	87, 95
2	2	2	naar beneden	33	18	1	A	16, 33
2	2	2	nee dan	56	14	1	A	43, 56
2	1	2	nog wel	111	11	1	A	101, 111
2	2	2	nog één	84	43	1	B	42, 84
2	2	2	oké dan	17	8	1	A	10, 17
2	2	2	rond ding	93	10	1	A	84, 93
2	2	2	sowieso niet	90	48	1	A	43, 90
2	2	2	van link	15	3	1	B	13, 15
2	2	2	veel naar	103	90	1	B	14, 103
