Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
3	3	3	in de hoek	29	22	2	B	8, 28, 29
6	6	2	het wijnglas	19	21	1	A	12, 19, 20, 24, 31, 32
5	5	2	bij mij	9	28	1	B	8, 9, 14, 15, 35
4	4	2	het midden	39	26	3	B	14, 22, 35, 39
4	1	2	in de	29	22	3	B	8, 22, 28, 29
2	2	2	dat zijn	42	22	1	A	21, 42
2	2	2	staan die	26	18	1	A	9, 26
2	2	2	van het	35	21	1	A	15, 35
2	2	2	zijn het	24	7	1	B	18, 24
13	2	1	het	12	40	1	B	0, 12, 14, 15, 18, 19, 20, 22, 24, 31, 32, 35, 39
8	4	1	in	9	33	1	B	8, 9, 15, 22, 28, 29, 39, 40
8	8	1	ja	6	34	1	A	5, 6, 23, 27, 30, 35, 36, 38
8	2	1	wijnglas	19	35	2	A	3, 12, 19, 20, 24, 31, 32, 37
7	7	1	een	3	43	1	B	0, 3, 9, 15, 18, 40, 42
6	1	1	bij	40	33	1	B	8, 9, 14, 15, 35, 40
6	2	1	de	25	33	2	B	8, 22, 25, 28, 29, 40
6	1	1	mij	8	33	1	A	3, 8, 9, 14, 15, 35
6	2	1	zijn	18	33	2	A	10, 12, 18, 21, 24, 42
5	5	1	ik	1	37	1	B	0, 1, 2, 3, 36
4	2	1	dat	42	33	3	A	10, 21, 36, 42
4	2	1	die	9	28	1	B	8, 9, 26, 35
4	4	1	en	40	33	3	B	8, 14, 35, 40
4	1	1	hoek	9	22	1	B	8, 9, 28, 29
3	3	1	iets	40	27	2	B	14, 35, 40
3	3	1	of	25	25	1	B	16, 25, 40
3	1	1	staan	9	19	1	B	8, 9, 26
3	3	1	zitten	39	6	1	B	35, 39, 40
2	2	1	boven	40	27	1	B	14, 40
2	2	1	dan	18	9	1	A	10, 18
2	2	1	links	15	2	1	B	14, 15
2	2	1	qua	17	2	1	B	16, 17

