Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	6	net iets veel onder dan boven	106	2	1	A	105, 106
3	3	5	rond schijf aan de achterkant	87	97	1	A	25, 87, 121
4	1	4	schijf aan de achterkant	109	97	1	A	25, 87, 109, 121
3	3	4	bij mij staan die	113	80	2	B	34, 80, 113
3	3	4	hij staan op een	24	12	2	A	13, 19, 24
2	2	4	dus dan moeten ik	50	47	1	B	4, 50
2	2	4	hij staan zeggen maar	104	93	1	B	12, 104
4	1	3	bij mij staan	142	109	2	B	34, 80, 113, 142
4	1	3	staan op een	73	61	2	A	13, 19, 24, 73
3	3	3	aan de linkerkant	17	7	1	B	16, 17, 22
3	1	3	dan moeten ik	29	47	1	B	4, 29, 50
2	2	3	die staan dan	143	13	1	A	131, 143
2	2	3	die staan op	85	13	1	A	73, 85
2	2	3	dus hij staan	113	102	1	B	12, 113
12	8	2	bij mij	113	109	5	B	34, 76, 80, 93, 111, 113, 114, 125, 128, 129, 139, 142
9	3	2	aan de	17	111	2	B	11, 16, 17, 20, 22, 25, 87, 109, 121
9	6	2	die staan	85	111	2	A	33, 73, 85, 93, 125, 131, 132, 141, 143
8	6	2	zeggen maar	21	100	3	B	7, 11, 12, 21, 34, 87, 104, 106
7	1	2	hij staan	101	102	1	B	12, 13, 19, 24, 101, 104, 113
7	4	2	rond schijf	21	117	1	B	20, 21, 25, 87, 88, 121, 136
6	6	2	en dan	31	109	1	B	14, 31, 32, 36, 89, 122
5	2	2	dan moeten	30	47	1	B	4, 29, 30, 32, 50
5	1	2	de achterkant	138	114	1	A	25, 87, 109, 121, 138
5	3	2	dus dan	45	69	1	B	4, 45, 49, 50, 72
5	2	2	op een	13	62	1	B	12, 13, 19, 24, 73
4	4	2	het zijn	73	79	1	B	7, 73, 83, 85
4	1	2	staan die	107	80	2	B	34, 80, 107, 113
3	3	2	denken ik	65	62	2	B	4, 59, 65
3	3	2	dit zijn	117	63	1	A	62, 117, 124
3	3	2	het midden	79	46	2	B	34, 41, 79
3	3	2	met één	85	36	1	A	74, 85, 109
2	2	2	de picknicktafel	142	2	1	A	141, 142
2	2	2	er zitten	41	2	1	A	40, 41
2	2	2	erin en	85	12	1	A	74, 85
2	2	2	ja dus	113	71	1	B	43, 113
2	2	2	ja en	122	98	1	A	25, 122
2	2	2	ja er	128	89	1	A	40, 128
2	2	2	je dat	44	34	1	B	11, 44
2	2	2	komen er	65	55	1	B	11, 65
2	2	2	maar die	141	101	1	B	41, 141
2	2	2	moeten drukken	56	2	1	B	55, 56
2	2	2	staan niet	143	31	1	A	113, 143
2	2	2	waar die	137	105	1	A	33, 137
2	2	2	zijn gewoon	62	56	1	B	7, 62
2	2	2	zijn niet	64	12	1	B	53, 64
2	2	2	zo'n uitsteeksel	22	2	1	A	21, 22
63	58	1	ja	7	140	2	A	5, 6, 7, 8, 9, 10, 11, 15, 18, 19, 25, 26, 27, 28, 35, 37, 39, 40, 41, 42, 43, 46, 47, 55, 56, 59, 60, 62, 63, 70, 71, 75, 76, 77, 78, 83, 84, 86, 88, 89, 90, 91, 94, 96, 97, 98, 99, 100, 103, 106, 110, 111, 113, 115, 117, 118, 122, 123, 126, 128, 140, 142, 144
27	14	1	die	33	135	2	B	9, 32, 33, 34, 41, 43, 50, 58, 73, 79, 80, 85, 87, 93, 101, 107, 112, 113, 117, 125, 130, 131, 132, 137, 141, 142, 143
25	14	1	de	29	132	2	B	11, 16, 17, 20, 22, 25, 29, 31, 44, 45, 50, 52, 79, 87, 98, 104, 108, 109, 113, 121, 135, 136, 138, 141, 142
25	5	1	staan	32	132	1	B	12, 13, 19, 24, 32, 33, 34, 43, 73, 79, 80, 85, 93, 101, 104, 107, 113, 125, 128, 131, 132, 139, 141, 142, 143
25	17	1	zijn	42	136	2	B	7, 9, 42, 45, 50, 53, 58, 61, 62, 63, 64, 70, 72, 73, 76, 80, 83, 85, 106, 111, 112, 117, 124, 137, 142
21	4	1	dan	61	140	2	B	4, 14, 29, 30, 31, 32, 36, 45, 49, 50, 61, 72, 80, 89, 101, 105, 106, 122, 129, 131, 143
21	12	1	en	19	133	3	B	11, 14, 16, 19, 20, 25, 31, 32, 36, 64, 74, 85, 87, 88, 89, 93, 104, 109, 112, 122, 143
17	11	1	het	42	141	5	B	2, 7, 22, 34, 41, 42, 44, 48, 62, 72, 73, 79, 83, 85, 129, 134, 142
17	8	1	maar	53	136	3	B	7, 11, 12, 21, 34, 41, 53, 57, 61, 62, 87, 98, 101, 104, 106, 141, 142
16	11	1	een	13	101	2	B	9, 12, 13, 14, 19, 21, 24, 25, 41, 73, 74, 88, 95, 98, 102, 109
14	2	1	bij	113	111	7	B	32, 34, 76, 80, 93, 111, 112, 113, 114, 125, 128, 129, 139, 142
14	12	1	dat	44	136	3	B	7, 11, 43, 44, 53, 59, 61, 76, 80, 95, 111, 112, 122, 142
14	9	1	ik	29	64	2	B	2, 4, 29, 35, 42, 43, 46, 50, 51, 53, 56, 57, 59, 65
14	2	1	mij	113	109	7	B	34, 66, 76, 80, 93, 111, 112, 113, 114, 125, 128, 129, 139, 142
14	14	1	oké	28	134	1	B	0, 28, 32, 50, 68, 69, 70, 80, 81, 82, 90, 107, 116, 133
